car,price,body,mileage,engV,engType,registration,year,model,drive
Volkswagen,20500,hatch,56,2,Diesel,yes,2014,Golf VII,front
Renault,6500,van,186,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Nissan,15800,crossover,56,2,Petrol,yes,2012,Qashqai,full
Dacia,2700,hatch,138,1.4,Petrol,yes,2004,Solenza,front
Volkswagen,6000,van,180,2,Diesel,yes,2008,Caddy ãðóç.,front
Volkswagen,10000,van,71,1.2,Petrol,yes,2013,Caddy ãðóç.,front
Nissan,6999,sedan,85,1.6,Petrol,yes,2009,Almera,front
Renault,11999,hatch,65,1.5,Diesel,yes,2014,Megane,front
Volkswagen,13999,crossover,150,2.5,Diesel,yes,2005,Touareg,full
Mitsubishi,14500,crossover,90,3,Petrol,yes,2008,Pajero Wagon,full
Lexus,16700,sedan,125,3.5,Other,yes,2007,ES 350,front
Volkswagen,11200,crossover,1,4.2,Petrol,yes,2004,Touareg,full
Mercedes-Benz,6100,sedan,280,NA,Gas,yes,1999,E-Class,rear
Volkswagen,9000,sedan,51,1.6,Petrol,yes,2013,Polo,front
Daewoo,4500,hatch,38,0.8,Petrol,yes,2013,Matiz,front
Mitsubishi,15999,crossover,149,3,Gas,yes,2008,Pajero Wagon,full
Volkswagen,15500,crossover,167,3.2,Petrol,yes,2006,Touareg,full
Toyota,9150,hatch,87,1.6,Petrol,yes,2008,Auris,front
Daewoo,0,hatch,130,0.8,Petrol,yes,2008,Matiz,front
Daewoo,3999,sedan,107,1.4,Gas,yes,2008,Lanos,front
Porsche,29900,other,31,3.4,Petrol,yes,2007,Cayman,rear
Porsche,115000,other,7,3.8,Petrol,yes,2013,911,full
Maserati,110000,other,11,4.7,Petrol,yes,2014,GranTurismo,rear
Toyota,21500,crossover,89,2,Petrol,yes,2012,Rav 4,full
Mitsubishi,12000,crossover,130,3,Gas,yes,2007,Pajero Sport,full
Lexus,20300,crossover,128,3.5,Gas,yes,2007,RX 350,full
Skoda,20500,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Toyota,12900,sedan,137,2.4,Petrol,yes,2008,Camry,front
Audi,33500,sedan,42,2,Petrol,yes,2013,A5,full
Skoda,23000,sedan,0,1.8,Petrol,yes,2016,Octavia A7,front
Skoda,22000,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Renault,0,other,179,2.5,Diesel,yes,2011,Trafic ãðóç.,front
Hyundai,8000,sedan,98,1.4,Petrol,yes,2011,Accent,front
Chrysler,13700,other,130,7,Petrol,yes,2005,300 C,rear
Chevrolet,10200,sedan,118,1.8,Petrol,yes,2011,Cruze,front
Audi,36500,crossover,115,3,Diesel,yes,2010,Q7,full
BMW,34400,crossover,37,2,Diesel,yes,2013,X1,full
Renault,5600,vagon,151,1.5,Diesel,yes,2006,Kangoo ïàññ.,front
Lexus,21000,crossover,180,3.5,Gas,yes,2006,RX 350,full
