car,price,body,mileage,engV,engType,registration,year,model,drive
MG,8199,hatch,21,1.5,Petrol,yes,2014,5,front
GMC,11999,crossover,100,3.6,Petrol,yes,2007,Acadia,full
Volkswagen,4200,van,210,2,Diesel,no,2004,Touran,front
Mercedes-Benz,32500,crossover,254,3.2,Diesel,yes,2008,GL 320,full
Nissan,4700,sedan,230,3,Petrol,yes,2001,Maxima,front
Renault,9000,vagon,179,1.5,Diesel,yes,2010,Megane,front
Nissan,1650,sedan,234,1.8,Petrol,yes,1984,Stanza,front
Mitsubishi,7699,crossover,254,3,Petrol,yes,2002,Pajero Sport,full
Volkswagen,8900,hatch,90,1.9,Diesel,yes,2009,Golf V,front
Mitsubishi,25999,crossover,86,3.2,Diesel,yes,2011,Pajero Wagon,full
Chevrolet,23200,crossover,64,2.2,Diesel,yes,2013,Captiva,full
Toyota,11750,sedan,93,1.6,Petrol,yes,2013,Corolla,front
Mercedes-Benz,8700,other,260,2.2,Diesel,yes,2003,Sprinter 213 ïàññ.,rear
Kia,11111,sedan,107,2,Gas,yes,2008,Magentis,front
Mercedes-Benz,12900,sedan,255,2.7,Diesel,yes,2003,E-Class,rear
Volkswagen,9700,vagon,130,1.6,Gas,yes,2008,Golf Variant,front
Citroen,6700,van,161,1.4,Diesel,yes,2009,Nemo ïàññ.,front
Suzuki,11400,crossover,127,2,Petrol,yes,2008,Grand Vitara,full
Honda,20500,sedan,92,2.4,Petrol,yes,2011,Accord,front
Mazda,2200,sedan,214,2,Petrol,no,1996,Xedos 6,front
Skoda,2100,vagon,300,1.3,Gas,yes,1996,Felicia,front
Opel,499,sedan,230,1.6,Petrol,no,1996,Vectra B,front
Mazda,6250,hatch,191,2,Petrol,yes,2004,3,front
VAZ,2000,sedan,200,1.5,Petrol,yes,2001,2115,front
Opel,510,vagon,200,NA,Petrol,no,1997,Vectra B,front
Opel,4750,vagon,272,1.8,Petrol,yes,1998,Vectra B,front
Mercedes-Benz,5600,van,480,2.2,Diesel,yes,1999,Vito ãðóç.,front
Nissan,11600,crossover,236,2,Gas,yes,2007,X-Trail,full
Opel,750,hatch,50,1.3,Gas,no,1988,Kadett,front
VAZ,950,sedan,86,1.2,Petrol,yes,1986,2101,rear
Mercedes-Benz,2100,sedan,535,2.2,Diesel,yes,1995,210,rear
