car,price,body,mileage,engV,engType,registration,year,model,drive
Renault,10500,hatch,148,1.5,Diesel,yes,2012,Megane,front
Mitsubishi,8200,sedan,160,2,Gas,yes,2007,Lancer X,front
SsangYong,10500,crossover,106,2,Diesel,yes,2008,Actyon,full
Renault,7800,van,200,1.9,Diesel,yes,2002,Trafic ïàññ.,front
Skoda,10900,vagon,95,2,Petrol,yes,2008,Octavia Scout,full
Daewoo,2780,hatch,62,0.8,Petrol,yes,2007,Matiz,front
Smart,21091.34235,hatch,0,0.9,Petrol,yes,2016,Forfour,rear
Ford,4700,hatch,192,1.4,Other,yes,2008,Fiesta,front
Jaguar,32500,other,43,4.2,Petrol,yes,2007,XKR,rear
BMW,13950,crossover,278,3,Diesel,yes,2003,X5,full
Nissan,3200,sedan,177,1.6,Gas,yes,1995,Primera,front
Mercedes-Benz,11000,sedan,263,3.2,Diesel,yes,2001,E-Class,rear
VAZ,1300,sedan,160,1.5,Gas,yes,1991,2106,rear
Audi,39999,crossover,45,2,Diesel,yes,2014,Q3,full
BMW,19500,sedan,190,6,Petrol,yes,2004,760,rear
Land Rover,35750,crossover,71,2.2,Diesel,yes,2013,Range Rover Evoque,full
Acura,30999,crossover,32,3.7,Other,yes,2010,ZDX,full
Fiat,1900,sedan,290,1.6,Gas,yes,1996,Tempra,front
Peugeot,2000,van,496,2.5,Other,yes,1996,Boxer ïàññ.,front
Chevrolet,6999,hatch,113,1.8,Other,yes,2007,Lacetti,front
Citroen,1650,sedan,240,2.2,Diesel,no,2001,C5,front
Renault,5800,van,143,1.5,Diesel,yes,2007,Kangoo ïàññ.,front
Volkswagen,2900,hatch,230,1.6,Petrol,yes,2000,Golf IV,front
Citroen,1600,sedan,200,2,Diesel,yes,2000,Xantia,front
Hyundai,0,crossover,0,2.2,Diesel,yes,2016,Santa FE,full
Opel,1400,vagon,200,1.6,Petrol,no,1998,Vectra B,front
Land Rover,39900,crossover,120,5,Petrol,yes,2012,Range Rover,full
Ford,6899,van,189,2,Diesel,yes,2006,Transit ïàññ.,front
Land Rover,46900,crossover,50,5,Petrol,yes,2012,Range Rover,full
Geely,8400,sedan,53,2,Gas,yes,2014,Emgrand 8,front
Lexus,55000,crossover,85,5.7,Gas,yes,2011,LX 570,full
