car,price,body,mileage,engV,engType,registration,year,model,drive
Nissan,4400,sedan,1,2,Petrol,yes,1992,Primera,front
Renault,10000,van,220,2,Diesel,yes,2007,Trafic ïàññ.,front
Volkswagen,6000,vagon,250,5,Diesel,yes,1995,Passat B4,front
Chevrolet,5499,sedan,1,1.6,Gas,yes,2007,Aveo,front
Mitsubishi,17900,crossover,140,3.8,Gas,yes,2007,Pajero Wagon,full
Chery,4200,hatch,37,1.1,Petrol,yes,2012,QQ,front
Renault,6000,van,1,1.9,Diesel,yes,2005,Trafic ãðóç.,front
VAZ,3800,crossover,2,1.7,Gas,yes,1995,2121,full
BMW,8000,sedan,194,2,Petrol,yes,1985,520,rear
Ford,8200,hatch,80,1.3,Petrol,yes,2010,Fiesta,front
Audi,3650,sedan,270,1.9,Diesel,yes,2002,A6,front
Audi,6900,sedan,360,2.5,Diesel,yes,1997,A6,front
Toyota,8000,hatch,115,1.6,Petrol,yes,2007,Corolla,front
Skoda,8000,sedan,187,2,Petrol,yes,2004,Octavia,front
Kia,7500,hatch,63,1.4,Petrol,yes,2010,Rio,front
Land Rover,3550,vagon,255,2.5,Diesel,no,2001,Discovery,full
Opel,3600,vagon,162,1.7,Diesel,no,2007,Astra H,
Chevrolet,2550,vagon,176,1.6,Petrol,no,2006,Lacetti,
Audi,15500,sedan,210,2,Diesel,yes,2008,A4,rear
Hyundai,8650,crossover,147,2,Gas,yes,2007,Tucson,
Mitsubishi,5500,crossover,30,2.5,Diesel,yes,2014,Pajero Sport,full
Fiat,7000,van,118,1.6,Gas,yes,2007,Doblo ïàññ.,front
Chevrolet,6700,hatch,62,1.5,Gas,yes,2009,Aveo,full
Renault,7900,vagon,105,1.5,Diesel,yes,2010,Kangoo ïàññ.,front
Ford,2100,sedan,256,2,Gas,yes,1987,Sierra,rear
Mazda,14200,crossover,95,3.7,Gas,yes,2008,CX-9,full
Opel,3399,sedan,295,2,Gas,yes,1994,Omega,rear
Renault,2500,sedan,105,1.4,Petrol,yes,1990,19,front
Skoda,8000,vagon,160,1.9,Diesel,yes,2008,Octavia,front
VAZ,2799,sedan,120,1.5,Gas,yes,2004,21099,front
Audi,15499,sedan,177,2,Diesel,yes,2007,A6,front
Honda,19000,crossover,137,3.5,Petrol,yes,2008,Pilot,full
Kia,10900,sedan,40,1.4,Petrol,yes,2013,Rio,front
Ford,3300,vagon,320,1.8,Diesel,yes,2003,Focus,front
VAZ,4800,sedan,7,1.6,Gas,yes,2013,2115,front
Volkswagen,7800,vagon,193,1.9,Diesel,yes,2002,Passat B5,front
Ford,6200,vagon,170,1.4,Petrol,yes,2008,Fusion,
Toyota,2800,other,421,1.3,Gas,yes,1988,Corolla,front
Chevrolet,6000,sedan,190,1.8,Gas,yes,2005,Lacetti,front
Peugeot,5800,van,188,1.6,Diesel,yes,2012,Partner ãðóç.,front
VAZ,5250,sedan,56,1.6,Gas,yes,2008,2170,front
Kia,15800,crossover,125,2,Gas,yes,2010,Sportage,front
Nissan,37900,crossover,67,5.6,Petrol,yes,2011,Patrol,full
Opel,5800,vagon,140,1.6,Petrol,yes,2004,Astra G,front
Hyundai,14500,sedan,134,2,Gas,yes,2012,Sonata,front
Kia,21999,crossover,120,2.2,Diesel,yes,2013,Sorento,
Opel,0,van,245,NA,Diesel,yes,1996,Combo ãðóç.,front
Audi,5700,vagon,250,2,Diesel,no,2006,A4,front
Volkswagen,10000,sedan,66,1.6,Petrol,yes,2011,Polo,front
VAZ,3000,crossover,47,1.7,Gas,yes,1982,2121,full
Kia,6200,sedan,94,2,Gas,yes,2006,Cerato,front
