car,price,body,mileage,engV,engType,registration,year,model,drive
BMW,0,sedan,259,3,Diesel,yes,2001,330,rear
Mercedes-Benz,7700,van,290,2.2,Diesel,yes,2004,Vito ïàññ.,rear
Suzuki,6400,sedan,25,2.4,Petrol,yes,2011,Kizashi,full
Volkswagen,18950,crossover,149,3,Diesel,yes,2008,Touareg,
Infiniti,12900,hatch,145,3.5,Gas,yes,2003,FX 35,full
Volkswagen,12900,van,127,1.6,Diesel,yes,2011,Caddy ïàññ.,front
Toyota,22900,sedan,60,2.5,Petrol,yes,2012,Camry,front
Mitsubishi,5999,sedan,150,1.6,Petrol,yes,2005,Lancer,front
Mitsubishi,5800,sedan,186,1.6,Petrol,yes,2006,Lancer,front
Mazda,7950,sedan,140,2,Other,yes,2006,6,front
Mercedes-Benz,14000,other,144,2.2,Diesel,yes,2009,Vito ïàññ.,rear
Mitsubishi,2300,sedan,523,1.8,Diesel,yes,1989,Lancer,front
Ford,1850,sedan,200,2.5,Petrol,no,2001,Mondeo,front
Mercedes-Benz,14800,van,139,3,Diesel,yes,2008,Vito ïàññ.,rear
BMW,4700,sedan,333,3,Petrol,yes,1994,730,rear
Mercedes-Benz,11300,sedan,363,3.2,Gas,yes,2004,E-Class,rear
Ford,6099,sedan,220,1.8,Gas,yes,2002,Mondeo,front
Renault,8100,crossover,90,1.9,Diesel,yes,2005,Kangoo ïàññ.,full
Subaru,11700,crossover,170,3,Petrol,yes,2006,Tribeca,
Volkswagen,10800,sedan,100,1.8,Petrol,yes,2008,Passat B6,front
Mercedes-Benz,11900,van,215,2.2,Diesel,yes,2011,Vito ãðóç.,rear
Fiat,980,other,260,1,Petrol,yes,1989,Panda,front
Toyota,31000,crossover,86,2.2,Diesel,yes,2014,Rav 4,full
Toyota,8800,crossover,205,2,Petrol,yes,2002,Rav 4,full
Mercedes-Benz,8700,van,290,2.2,Diesel,yes,2005,Vito ïàññ.,rear
Mitsubishi,7200,sedan,102,1.6,Petrol,yes,2007,Lancer,front
Volkswagen,12499,other,184,2,Diesel,yes,2012,T6 (Transporter) ãðóç,front
Mercedes-Benz,1200,sedan,240,2.4,Petrol,no,1999,E-Class,rear
Mercedes-Benz,11499,other,157,2.2,Diesel,yes,2012,Vito ãðóç.,rear
Nissan,14500,other,187,2.5,Diesel,yes,2008,Navara,full
Mercedes-Benz,28500,sedan,148,2.2,Diesel,yes,2011,E-Class,rear
Hyundai,12800,hatch,19,1.4,Petrol,yes,2013,i30,front
Citroen,14462.65275,hatch,1,1.6,Diesel,yes,2015,C4,front
Ford,25400,crossover,40,2,Diesel,yes,2014,Kuga,full
Hyundai,5100,hatch,108,1.4,Petrol,yes,2007,Getz,front
VAZ,8447.4,crossover,1,1.7,Petrol,yes,2015,2121,full
Mercedes-Benz,12800,other,360,2.2,Diesel,yes,2008,Vito ïàññ.,rear
Chery,11111.295,crossover,1,1.6,Petrol,yes,2016,Tiggo,front
Mercedes-Benz,12100,sedan,310,2.2,Diesel,yes,2005,E-Class,rear
Audi,41000,crossover,88,4.2,Diesel,yes,2010,Q7,full
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200,full
Chevrolet,10577.775,crossover,1,1.7,Petrol,yes,2015,Niva,full
Volkswagen,9250,sedan,200,2,Diesel,yes,2007,Passat B6,front
Citroen,5000,van,194,1.9,Diesel,yes,2005,Berlingo ïàññ.,front
Mazda,12950,crossover,65,2.3,Petrol,yes,2008,CX-7,full
Hyundai,9300,sedan,98,1.4,Petrol,yes,2011,Accent,front
Peugeot,16042.65,hatch,1,1.6,Diesel,yes,2015,308,front
Mercedes-Benz,68700,crossover,980,3,Diesel,yes,2013,GL 350,full
Hyundai,6300,sedan,164,1.6,Gas,yes,2008,Accent,front
Land Rover,72000,crossover,45,5,Petrol,yes,2013,Range Rover Sport,full
Mercedes-Benz,4700,sedan,1,1.8,Petrol,yes,1996,C-Class,rear
Rover,38500,crossover,55,2.3,Petrol,yes,2013,Range Rover,full
Mercedes-Benz,12950,sedan,313,3.2,Diesel,yes,2003,S 320,rear
Mazda,12400,crossover,148,2.3,Petrol,yes,2008,CX-7,full
Volkswagen,15900,sedan,77,1.4,Petrol,yes,2012,Jetta,front
Audi,4300,sedan,340,2.4,Gas,yes,1998,A6,full
BMW,36900,sedan,17,2,Petrol,yes,2013,520,rear
Honda,21800,sedan,0,1.6,Petrol,yes,2016,Civic,front
Honda,19499,crossover,144,3.5,Petrol,yes,2008,Pilot,full
Ford,1100,sedan,301,1.8,Diesel,no,1998,Mondeo,front
Kia,10200,sedan,112,2,Gas,yes,2008,Magentis,front
SsangYong,9000,crossover,205,2.9,Diesel,yes,2002,Rexton,full
Hyundai,6300,sedan,76,NA,Petrol,yes,2010,Accent,front
Audi,75000,crossover,0,3,Diesel,yes,2015,Q7,full
Kia,11800,sedan,44,1.4,Gas,yes,2014,Rio,front
Volkswagen,0,sedan,118,1.6,Gas,yes,2008,Jetta,front
Volkswagen,9000,sedan,178,1.9,Diesel,yes,2009,Jetta,front
Daewoo,4700,sedan,86,1.4,Gas,yes,2008,Lanos,front
VAZ,2000,sedan,49,1.3,Petrol,yes,1974,2103,rear
Renault,4900,sedan,90,1.4,Gas,yes,2008,Symbol,front
Opel,11200,van,180,2,Diesel,yes,2012,Vivaro ãðóç.,front
Toyota,8800,sedan,165,1.8,Petrol,yes,2007,Avensis,front
Daewoo,3200,sedan,75,1.4,Petrol,yes,2008,Lanos,front
Chevrolet,8700,sedan,93,2,Gas,yes,2010,Epica,front
Nissan,11500,crossover,78,1.6,Petrol,yes,2011,Juke,front
Volkswagen,17900,van,92,1.4,Petrol,yes,2012,Sharan,front
Volkswagen,7999,van,210,1.6,Gas,yes,2004,Touran,front
Mazda,3200,sedan,217,2,Petrol,yes,1993,Xedos 6,front
Mercedes-Benz,129999,crossover,1,2.99,Diesel,yes,2016,GLS 350,full
Ford,7300,other,130,1.8,Diesel,yes,2011,Transit Connect ãðóç.,front
Opel,12500,sedan,140,1.4,Petrol,yes,2012,Insignia,front
Audi,92222,crossover,0,3,Diesel,yes,2016,Q7,full
Bentley,0,crossover,1,6,Petrol,yes,2016,Bentayga,full
Ford,2300,sedan,240,2,Diesel,no,2001,Mondeo,front
Toyota,8600,sedan,126,1.6,Petrol,yes,2008,Corolla,front
Toyota,14900,other,175,3.5,Gas,yes,2008,Camry,front
Nissan,10500,crossover,155,2.5,Gas,yes,2007,X-Trail,full
Mitsubishi,7500,sedan,94,1.6,Petrol,yes,2007,Lancer,front
Toyota,41900,crossover,89,4.5,Diesel,yes,2012,Land Cruiser 200,full
Mercedes-Benz,24500,other,77,1.8,Petrol,yes,2011,C-Class,
Mercedes-Benz,17500,vagon,113,2.2,Diesel,yes,2010,C-Class,rear
Volkswagen,17900,vagon,115,1.8,Petrol,yes,2012,Passat B7,front
Mercedes-Benz,9999,sedan,250,2.2,Diesel,yes,2000,E-Class,rear
Volkswagen,9600,sedan,185,1.6,Gas,yes,2008,Jetta,front
Hummer,39500,other,110,6,Gas,yes,2007,H2,full
Mercedes-Benz,9999,sedan,322,2.7,Diesel,yes,2000,E-Class,rear
Mercedes-Benz,16500,van,152,2.2,Diesel,yes,2012,Vito ïàññ.,rear
Mazda,12200,crossover,79,2.3,Petrol,yes,2008,CX-7,full
Volkswagen,13000,van,110,1.9,Diesel,yes,2009,T5 (Transporter) ïàññ.,front
Daewoo,3699,hatch,111,0.8,Petrol,yes,2007,Matiz,front
Opel,9500,van,180,2,Diesel,yes,2008,Vivaro ïàññ.,front
Volkswagen,1450,other,200,1.8,Gas,yes,1987,Jetta,front
Toyota,12500,sedan,110,2.4,Gas,yes,2007,Camry,front
Renault,10500,van,183,2.5,Diesel,yes,2006,Trafic ïàññ.,front
Audi,4000,vagon,300,2.5,Diesel,no,2001,A6,front
Volkswagen,22800,other,161,2,Diesel,yes,2011,Amarok,full
Chevrolet,6500,vagon,116,1.8,Gas,yes,2010,Lacetti,front
Toyota,52500,crossover,43,3,Other,yes,2014,Land Cruiser Prado,full
Audi,4000,sedan,263,1.9,Diesel,yes,1996,A4,front
Chevrolet,5600,sedan,168,1.5,Gas,yes,2007,Aveo,front
Honda,10900,sedan,99,1.8,Petrol,yes,2008,Civic,front
Lexus,14290,crossover,173,3,Petrol,yes,2004,RX 300,full
VAZ,3600,hatch,114,1.6,Gas,yes,2010,2113,front
Opel,11350,van,177,2,Diesel,yes,2012,Vivaro ãðóç.,front
Tesla,162900,sedan,0,NA,Other,yes,2016,Model S,full
Opel,14000,van,210,2.5,Diesel,yes,2011,Vivaro ïàññ.,front
Ford,4100,sedan,205,2,Petrol,yes,1995,Scorpio,
Chrysler,13800,vagon,76,2.7,Petrol,yes,2009,300 C,rear
Honda,13700,other,82,2.4,Petrol,yes,2008,Accord,front
BMW,7000,sedan,227,3,Diesel,no,2004,730,rear
Kia,9200,hatch,125,1.6,Petrol,yes,2008,Ceed,front
Chevrolet,6150,sedan,102,1.5,Petrol,yes,2008,Aveo,front
Toyota,12900,sedan,129,1.8,Petrol,yes,2009,Avensis,front
Ford,1300,sedan,250,1.6,Petrol,yes,1988,Escort,rear
Infiniti,49900,crossover,20,3,Diesel,yes,2015,QX70,full
Mercedes-Benz,11500,sedan,180,3.2,Gas,yes,2004,E-Class,rear
Hyundai,6500,sedan,92,1.4,Petrol,yes,2008,Accent,front
Lexus,16000,crossover,195,3.5,Gas,yes,2006,RX 350,full
Opel,11700,van,170,2,Other,yes,2008,Vivaro ïàññ.,front
Mazda,12899,crossover,112,NA,Gas,yes,2008,CX-7,front
Mitsubishi,1699,hatch,294,1.6,Gas,yes,1992,Lancer,front
Chevrolet,8300,sedan,97,2,Petrol,yes,2010,Epica,front
Ford,2000,van,320,2.5,Diesel,no,1996,Transit ãðóç.,rear
Audi,37000,other,170,3,Diesel,yes,2010,Q7,full
Volkswagen,11600,sedan,169,1.4,Gas,no,2013,Passat B7,front
Lexus,17600,crossover,157,NA,Petrol,yes,2006,RX 350,full
Chevrolet,5400,hatch,142,1.5,Gas,yes,2008,Aveo,front
Mercedes-Benz,12300,sedan,300,2.2,Diesel,yes,2003,E-Class,rear
Citroen,5500,hatch,108,1.4,Petrol,yes,2005,C3,front
Volkswagen,0,other,67,1.8,Other,yes,2008,Passat B6,
Opel,4250,hatch,228,2,Petrol,yes,1996,Vectra B,front
Lexus,27000,crossover,150,4.7,Gas,yes,2007,GX,full
Hyundai,9900,crossover,168,2,Gas,yes,2007,Tucson,full
BMW,4599,sedan,267,2,Gas,yes,1991,520,rear
Toyota,4000,sedan,243,2,Gas,yes,1987,Mark II,rear
Mercedes-Benz,14200,van,180,2.2,Diesel,yes,2007,Vito ïàññ.,
Skoda,8100,sedan,196,1.8,Petrol,yes,2005,Superb,front
Mitsubishi,3149.25,hatch,330,2,Gas,yes,1993,Galant,front
Daewoo,4500,sedan,35,1.3,Gas,yes,2013,Sens,front
Skoda,5200,hatch,183,1.2,Gas,yes,2006,Fabia,front
Volkswagen,6900,sedan,256,1.8,Petrol,yes,2002,Passat B5,front
