Date,Article_ID,Country_Code,Sold_Units
20180526,362,FI,2
20180527,362,FI,1
20180528,362,FI,3
20180530,362,FI,2
20180604,362,FI,3
20180605,362,FI,1
20180612,362,FI,1
20180613,362,FI,1
20180614,362,FI,1
20180615,362,FI,2
20180616,362,FI,2
20180617,362,FI,2
20180618,362,FI,5
20180619,362,FI,1
20180620,362,FI,2
20180621,362,FI,1
20180622,362,FI,2
20180625,362,FI,1
20180626,362,FI,2
20180627,362,FI,1
20180629,362,FI,3
20180702,362,FI,2
20180705,362,FI,1
20180706,362,FI,1
20180707,362,FI,1
20180708,362,FI,1
20180713,362,FI,1
20180714,362,FI,1
20180715,362,FI,3
20180723,362,FI,1
20180724,362,FI,1
20180726,362,FI,1
20180729,362,FI,2
20180731,362,FI,2
20180804,362,FI,1
20180805,362,FI,2
20180806,362,FI,1
20180807,362,FI,1
20180810,362,FI,3
20180812,362,FI,1
20180815,362,FI,3
20180817,362,FI,1
20180818,362,FI,1
20180819,362,FI,1
20180822,362,FI,1
20180823,362,FI,1
20180824,362,FI,3
20180826,362,FI,1
20180828,362,FI,1
20180829,362,FI,3
20180905,362,FI,1
20180906,362,FI,1
20180908,362,FI,1
20180911,362,FI,2
20180912,362,FI,1
20180913,362,FI,1
20180916,362,FI,1
20180921,362,FI,2
20180922,362,FI,2
20180923,362,FI,1
20180928,362,FI,1
20180930,362,FI,1
20181008,362,FI,1
20181018,362,FI,3
20181020,362,FI,1
20181023,362,FI,3
20181024,362,FI,2
20181028,362,FI,3
20181030,362,FI,1
20181101,362,FI,2
20181104,362,FI,1
20181108,362,FI,1
20181109,362,FI,1
20181115,362,FI,1
20181118,362,FI,3
20181120,362,FI,1
20181121,362,FI,2
20181123,362,FI,1
20181126,362,FI,3
20181127,362,FI,1
20181129,362,FI,1
20181130,362,FI,1
20181201,362,FI,2
20181202,362,FI,1
20181203,362,FI,1
20181214,362,FI,2
20181216,362,FI,1
20181218,362,FI,1
20181219,362,FI,1
20181222,362,FI,1
20181225,362,FI,1
20181226,362,FI,1
20181229,362,FI,2
20190105,362,FI,2
20190106,362,FI,1
20190113,362,FI,1
20190118,362,FI,2
20190127,362,FI,1
20190202,362,FI,2
20190206,362,FI,1
20190210,362,FI,1
20170131,409,FI,1
20170202,409,FI,1
20170205,409,FI,1
20170208,409,FI,1
20170212,409,FI,1
20170219,409,FI,2
20170221,409,FI,1
20170225,409,FI,2
20170226,409,FI,1
20170303,409,FI,2
20170307,409,FI,1
20170308,409,FI,2
20170309,409,FI,3
20170311,409,FI,2
20170313,409,FI,1
20170317,409,FI,1
20170328,409,FI,1
20170330,409,FI,1
20170331,409,FI,1
20170411,409,FI,1
20170421,409,FI,1
20170507,409,FI,2
20170508,409,FI,1
20170509,409,FI,1
20170512,409,FI,1
20170513,409,FI,1
20170515,409,FI,1
20170517,409,FI,1
20170519,409,FI,1
20170521,409,FI,1
20170522,409,FI,1
20170524,409,FI,3
20170526,409,FI,1
20170531,409,FI,2
20170602,409,FI,3
20170608,409,FI,1
20170611,409,FI,1
20170615,409,FI,1
20170626,409,FI,2
20170703,409,FI,1
20170704,409,FI,2
20170705,409,FI,2
20170712,409,FI,1
20170720,409,FI,1
20170722,409,FI,2
20170724,409,FI,1
20170730,409,FI,1
20170804,409,FI,1
20170808,409,FI,1
20170811,409,FI,1
20170815,409,FI,1
20170819,409,FI,1
20170902,409,FI,1
20170907,409,FI,2
20170908,409,FI,3
20170910,409,FI,3
20170911,409,FI,1
20170925,409,FI,1
20170927,409,FI,1
20171004,409,FI,2
20171005,409,FI,3
20171008,409,FI,1
20171009,409,FI,4
20171010,409,FI,1
20171014,409,FI,1
20171018,409,FI,2
20171021,409,FI,1
20171022,409,FI,1
20171030,409,FI,1
20171031,409,FI,1
20171106,409,FI,1
20171112,409,FI,1
20171114,409,FI,1
20171119,409,FI,1
20171122,409,FI,1
20171124,409,FI,4
20171125,409,FI,1
20171126,409,FI,2
20171127,409,FI,3
20171210,409,FI,1
20171214,409,FI,1
20171218,409,FI,1
20171223,409,FI,1
20171225,409,FI,1
20171227,409,FI,1
20171228,409,FI,1
20180103,409,FI,1
20180104,409,FI,2
20180106,409,FI,2
20180110,409,FI,2
20180111,409,FI,2
20180204,409,FI,1
20180209,409,FI,1
20180221,409,FI,1
20180227,409,FI,4
20180228,409,FI,6
20180302,409,FI,1
20180305,409,FI,2
20180307,409,FI,1
20180311,409,FI,1
20180319,409,FI,1
20180323,409,FI,1
20180327,409,FI,1
20180330,409,FI,1
20180403,409,FI,1
20180405,409,FI,1
20180409,409,FI,2
20180417,409,FI,3
20180425,409,FI,1
20180426,409,FI,1
20180428,409,FI,3
20180503,409,FI,1
20180504,409,FI,1
20180505,409,FI,1
20180506,409,FI,2
20180508,409,FI,1
20180510,409,FI,1
20180511,409,FI,1
20180514,409,FI,1
20180515,409,FI,4
20180516,409,FI,1
20180518,409,FI,2
20180521,409,FI,1
20180524,409,FI,2
20180526,409,FI,3
20180601,409,FI,1
20180604,409,FI,3
20180607,409,FI,1
20180610,409,FI,2
20180617,409,FI,1
20180618,409,FI,1
20180619,409,FI,2
20180621,409,FI,2
20180624,409,FI,4
20180626,409,FI,2
20180627,409,FI,1
20180706,409,FI,1
20180707,409,FI,1
20180709,409,FI,2
20180710,409,FI,1
20180711,409,FI,2
20180713,409,FI,1
20180715,409,FI,2
20180718,409,FI,1
20180724,409,FI,2
20180726,409,FI,2
20180727,409,FI,1
20180801,409,FI,1
20180814,409,FI,1
20180815,409,FI,1
20180818,409,FI,1
20180819,409,FI,1
20180822,409,FI,1
20180823,409,FI,1
20180824,409,FI,1
20180825,409,FI,1
20180828,409,FI,1
20180901,409,FI,3
20180902,409,FI,1
20180903,409,FI,1
20180907,409,FI,1
20180910,409,FI,3
20180911,409,FI,1
20180912,409,FI,1
20180914,409,FI,1
20180915,409,FI,1
20180916,409,FI,1
20180918,409,FI,1
20180920,409,FI,1
20180924,409,FI,2
20180925,409,FI,1
20180927,409,FI,1
20180928,409,FI,1
20180930,409,FI,1
20181003,409,FI,1
20181004,409,FI,1
20181009,409,FI,1
20181011,409,FI,4
20181101,409,FI,1
20181103,409,FI,1
20181104,409,FI,4
20181108,409,FI,2
20181109,409,FI,4
20181111,409,FI,1
20181112,409,FI,2
20181115,409,FI,1
20181118,409,FI,3
20181122,409,FI,3
20181123,409,FI,7
20181125,409,FI,1
20181126,409,FI,1
20181127,409,FI,5
20181128,409,FI,1
20181211,409,FI,1
20181217,409,FI,3
20181228,409,FI,1
20181229,409,FI,1
20181231,409,FI,1
20190103,409,FI,1
20190108,409,FI,1
20190110,409,FI,1
20190113,409,FI,2
20190118,409,FI,3
20190124,409,FI,1
20190126,409,FI,2
20190127,409,FI,2
20190129,409,FI,1
20190130,409,FI,3
20190131,409,FI,1
20190202,409,FI,1
20190203,409,FI,1
20190209,409,FI,1
20170103,5984,FI,2
20170104,5984,FI,3
20170105,5984,FI,1
20170106,5984,FI,4
20170108,5984,FI,1
20170109,5984,FI,1
20170110,5984,FI,4
20170111,5984,FI,2
20170112,5984,FI,2
20170113,5984,FI,1
20170114,5984,FI,1
