car,price,body,mileage,engV,engType,registration,year,model,drive
Mercedes-Benz,24500,sedan,180,2.2,Diesel,yes,2012,E-Class,rear
Volkswagen,3200,other,650,1.9,Diesel,yes,1999,Caddy ãðóç.,front
Renault,12850,other,226,2.3,Diesel,yes,2012,Master ãðóç.,front
VAZ,3100,hatch,129,1.5,Gas,yes,2005,21093,front
Skoda,14800,sedan,12,1.6,Petrol,yes,2012,Octavia A5,front
Volkswagen,13300,van,250,2.5,Diesel,yes,2008,T5 (Transporter) ïàññ.,front
Mitsubishi,1389,hatch,245,1.3,Petrol,no,1996,Colt,front
Nissan,13550,crossover,54,1.6,Petrol,yes,2011,Juke,front
Ford,12200,sedan,70,1,Petrol,yes,2013,Focus,front
Mitsubishi,18000,crossover,160,3.2,Diesel,yes,2007,Pajero Wagon,full
BMW,8800,crossover,284,3,Diesel,no,2004,X5,full
Renault,2200,van,290,2.2,Diesel,no,1999,Espace,front
BMW,4500,sedan,28,1.9,Petrol,yes,1995,318,
Opel,9500,sedan,167,2.2,Petrol,yes,2008,Vectra C,front
Land Rover,95000,crossover,19,5,Petrol,yes,2014,Range Rover Sport,full
Daewoo,2450,sedan,232,1.3,Gas,yes,2004,Sens,front
Mercedes-Benz,81500,sedan,1,3,Diesel,yes,2016,GLE-Class,full
Land Rover,28200,crossover,138,4.4,Petrol,yes,2008,Range Rover,full
BMW,3800,sedan,250,3,Diesel,no,2002,330,rear
Mercedes-Benz,61500,crossover,16,3,Diesel,yes,2013,ML 350,full
Audi,23900,sedan,180,3,Diesel,yes,2009,A6,full
VAZ,3600,sedan,215,NA,Gas,yes,2008,2115,front
Honda,20000,sedan,95,2.4,Petrol,yes,2011,Accord,front
VAZ,3400,sedan,174,1.5,Gas,yes,2006,21099,
Volkswagen,27000,sedan,57,2,Diesel,yes,2013,Passat B7,front
Mitsubishi,11500,sedan,134,2.4,Petrol,yes,2009,Galant,front
Hyundai,6200,sedan,92,1.4,Petrol,yes,2007,Accent,front
Toyota,22000,sedan,73,3.5,Petrol,yes,2010,Camry,front
Volkswagen,11500,van,70,2,Diesel,yes,2013,Caddy ãðóç.,front
Renault,7300,vagon,162,1.5,Diesel,yes,2006,Megane,front
Renault,3100,vagon,150,1.9,Diesel,no,2003,Laguna,front
Audi,3000,sedan,278,2.5,Diesel,no,1999,A6,front
Ford,8300,other,173,2.2,Diesel,yes,2007,Transit ïàññ.,front
Skoda,12600,sedan,108,1.8,Petrol,yes,2012,Octavia A5,
Mercedes-Benz,10000,sedan,80,NA,Diesel,yes,2010,S 350,rear
Audi,5200,sedan,250,1.8,Other,yes,1996,A4,front
VAZ,2600,vagon,1,1.9,Diesel,yes,2001,2104,rear
BMW,12200,sedan,239,3,Diesel,yes,2001,730,rear
BMW,4500,sedan,230,4,Gas,yes,1994,540,rear
Mercedes-Benz,6900,vagon,235,2.9,Diesel,yes,1997,E-Class,rear
Chery,2800,sedan,260,1.6,Petrol,yes,2008,Amulet,front
Infiniti,14100,crossover,130,3.5,Gas,yes,2004,FX 35,full
Chevrolet,6500,sedan,212,2,Gas,yes,2005,Evanda,front
Toyota,20500,crossover,139,4,Gas,yes,2005,Land Cruiser Prado,full
Toyota,1100,van,140,2,Gas,yes,1985,Lite Ace,rear
Citroen,5000,van,217,2,Diesel,yes,2003,Jumpy ïàññ.,front
Kia,11500,sedan,90,2,Petrol,yes,2008,Magentis,front
Audi,8100,vagon,302,2.5,Diesel,yes,2000,A6,front
