car,price,body,mileage,engV,engType,registration,year,model,drive
Honda,10300,sedan,134,1.8,Gas,yes,2008,Civic,front
Skoda,8900,vagon,130,1.2,Diesel,yes,2012,Fabia,front
Hyundai,8599,hatch,95,1.6,Diesel,yes,2009,i30,front
Alfa Romeo,12100,sedan,91,2.2,Petrol,yes,2008,159,front
Ford,10900,hatch,53,1,Petrol,yes,2013,Focus,front
Volkswagen,3600,sedan,330,2.8,Gas,yes,1994,Passat B4,front
Renault,10200,hatch,70,1.5,Diesel,yes,2013,Sandero,front
Daewoo,3850,sedan,45,1.3,Petrol,yes,2011,Sens,
Volkswagen,8500,sedan,220,2,Other,yes,2005,Passat B5,front
Opel,9500,other,157,2,Diesel,yes,2011,Vivaro ãðóç.,front
BMW,8200,sedan,287,2.5,Gas,yes,1999,525,rear
Volkswagen,8500,van,216,1.9,Diesel,yes,2005,Caddy ïàññ.,front
Audi,4649,vagon,350,NA,Diesel,yes,2000,A6,full
Hyundai,8100,hatch,72,1.4,Gas,yes,2008,i30,front
BMW,39500,vagon,93,2,Diesel,yes,2012,525,full
Renault,800,van,200,1.9,Diesel,no,1997,Scenic,front
Honda,10500,sedan,138,1.8,Gas,yes,2008,Civic,front
Opel,2500,vagon,269,2.2,Diesel,no,2001,Omega,rear
Opel,1500,hatch,240,1.8,Petrol,no,1998,Vectra B,front
Audi,0,vagon,156,3,Diesel,yes,2009,A6,full
Volkswagen,2900,vagon,257,1.9,Diesel,no,2003,Passat B5,front
Opel,10800,hatch,168,1.7,Diesel,yes,2010,Astra J,front
Opel,4300,sedan,370,2,Gas,yes,1997,Omega,rear
Subaru,3200,sedan,270,2,Petrol,yes,1994,Legacy,front
Daewoo,3350,sedan,148,1.3,Gas,yes,2013,Sens,front
Mazda,6799,van,190,2,Diesel,yes,2003,MPV,front
Mercedes-Benz,18200,sedan,103,2,Gas,yes,2007,C-Class,rear
BMW,16500,sedan,150,2.5,Petrol,yes,2005,325,
Opel,11900,van,111,2,Diesel,yes,2013,Vivaro ãðóç.,front
Opel,3500,sedan,250,2.2,Diesel,yes,2001,Omega,rear
Skoda,25000,sedan,47,1.8,Petrol,yes,2014,Octavia A7,front
Ford,3999,van,324,2.5,Diesel,yes,1994,Transit ïàññ.,rear
Audi,16000,sedan,180,3,Diesel,yes,2006,A6,full
Mazda,8900,sedan,150,2,Gas,yes,2004,6,front
Renault,0,vagon,117,1.5,Diesel,yes,2007,Grand Scenic,front
Mercedes-Benz,3300,sedan,330,2,Gas,yes,1988,190,rear
Mercedes-Benz,17800,sedan,73,3,Petrol,yes,2008,C-Class,full
Opel,4700,sedan,278,1.8,Gas,yes,1996,Vectra B,
Subaru,11000,hatch,70,2,Petrol,yes,2008,Impreza,full
Land Rover,23000,crossover,140,2.7,Diesel,yes,2007,Range Rover Sport,full
Skoda,2600,vagon,93,1.4,Petrol,no,2001,Fabia,front
Mazda,10000,sedan,162,1.6,Petrol,yes,2006,3,front
Skoda,2800,vagon,223,1.9,Diesel,no,2000,Octavia Tour,front
Jaguar,47794.5,sedan,2,2,Diesel,yes,2015,XF,rear
Volkswagen,2700,hatch,300,1.9,Diesel,no,2000,Golf IV,front
Suzuki,10300,other,122,2,Petrol,yes,2007,Grand Vitara,
Peugeot,5800,sedan,86,1.4,Petrol,yes,2008,206,front
Renault,10700,van,150,1.9,Diesel,yes,2006,Trafic ïàññ.,front
Opel,5400,sedan,272,1.8,Petrol,yes,1998,Vectra B,front
Skoda,9200,vagon,176,1.9,Diesel,yes,2007,Octavia A5,front
Mazda,18900,sedan,10,1.5,Petrol,yes,2014,3,front
Honda,22000,sedan,0,1.6,Petrol,yes,2016,Civic,front
Nissan,3600,vagon,240,1.6,Petrol,yes,1992,Sunny,front
Ford,6900,van,74,1.8,Diesel,yes,2011,Transit Connect ãðóç.,front
Skoda,1850,sedan,240,1.9,Diesel,no,1998,Octavia,front
BMW,2750,vagon,254,2.8,Gas,no,1997,528,rear
Renault,6750,van,140,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Skoda,5600,hatch,128,1.2,Petrol,yes,2006,Fabia,front
Kia,4200,crossover,250,2.5,Diesel,no,2005,Sorento,full
Skoda,16000,crossover,81,1.8,Petrol,yes,2012,Yeti,full
Renault,6100,van,280,90,Diesel,yes,2008,Kangoo ïàññ.,front
Hyundai,18999,crossover,48,2,Gas,yes,2011,IX35,full
Mitsubishi,27565.2,crossover,1,2.5,Diesel,yes,2016,Pajero Sport,full
Mazda,11800,sedan,95,2,Other,yes,2008,6,front
Renault,6750,other,110,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Honda,9600,sedan,126,1.8,Petrol,yes,2008,Civic,front
GMC,40999,van,130,5.3,Petrol,yes,2010,Savana,full
Toyota,11707.8,hatch,1,1,Petrol,yes,2016,Yaris,front
Skoda,7500,sedan,175,1.6,Petrol,yes,2006,Octavia Tour,front
ZAZ,6061.38,sedan,1,1.3,Gas,yes,2015,Sens,front
BMW,6000,sedan,300,2.8,Petrol,yes,1996,528,rear
Toyota,8200,crossover,212,2,Gas,yes,2003,Rav 4,full
Peugeot,19000,crossover,13,1.6,Petrol,yes,2015,2008,front
Mitsubishi,8700,sedan,150,2.4,Gas,yes,2007,Galant,front
Skoda,13100,hatch,86,1.8,Petrol,yes,2012,Octavia A5,front
Mitsubishi,2900,hatch,300,1.8,Petrol,yes,1989,Galant,front
Audi,4000,vagon,234,2.5,Diesel,no,2001,A6,front
Chevrolet,5999,other,113,NA,Petrol,yes,2008,Aveo,front
Opel,8000,van,200,1.9,Diesel,yes,2003,Vivaro ãðóç.,front
Ford,11000,hatch,34,1.6,Petrol,yes,2012,Focus,front
Mercedes-Benz,24900,sedan,97,1.8,Petrol,yes,2012,E-Class,rear
Mazda,7200,sedan,185,2,Petrol,yes,2006,6,
Lincoln,10000,sedan,237,4.6,Gas,yes,2000,Town Car,rear
Hyundai,6600,sedan,82,1.4,Petrol,yes,2006,Accent,front
Mercedes-Benz,13400,sedan,105,1.8,Petrol,yes,2006,E-Class,rear
Skoda,10750,hatch,79,1.8,Petrol,yes,2010,Octavia A5,front
Hyundai,0,sedan,27,5,Petrol,yes,2013,Genesis,rear
Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016,GLS 63,full
Mazda,7200,sedan,127,1.6,Other,yes,2005,3,front
Land Rover,95555,crossover,0,3,Diesel,yes,2016,Range Rover Sport,full
Opel,8000,sedan,280,2.5,Diesel,yes,1996,Omega,rear
Mercedes-Benz,129999,crossover,0,4.67,Petrol,yes,2016,GLS 500,full
Audi,89999,crossover,0,3,Diesel,yes,2015,Q7,full
MINI,20500,hatch,23,1.6,Petrol,yes,2014,Cooper,front
BMW,49000,vagon,56,5,Petrol,yes,2007,M5,rear
Renault,6500,van,127,1.5,Diesel,yes,2011,Kangoo ãðóç.,front
Hyundai,7000,hatch,84,1.6,Petrol,yes,2008,Getz,front
Mercedes-Benz,4400,sedan,160,2.7,Diesel,no,2000,E-Class,rear
Mercedes-Benz,6500,sedan,270,2.8,Gas,yes,1999,E-Class,rear
Skoda,13200,hatch,160,1.8,Petrol,yes,2011,Octavia A5,front
Citroen,8499,other,20,1.2,Petrol,yes,2013,C-Elysee,front
Renault,2200,other,155,1.6,Petrol,no,2004,Scenic,front
Ford,2300,van,176,2,Gas,no,2000,Galaxy,front
