car,price,body,mileage,engV,engType,registration,year,model,drive
Mercedes-Benz,0,van,240,2.2,Diesel,yes,2007,Vito ïàññ.,rear
Mercedes-Benz,49500,crossover,52,3,Diesel,yes,2013,ML 350,full
Skoda,9300,sedan,140,1.5,Gas,yes,2007,Superb,front
VAZ,3700,sedan,104,1.5,Gas,yes,2008,2115,front
VAZ,1400,sedan,87,1.6,Petrol,yes,2002,2107,rear
Seat,24000,hatch,50,1.8,Petrol,yes,2014,Leon,front
Chevrolet,58500,other,1,2,Petrol,yes,2016,Camaro,rear
Mercedes-Benz,14500,van,171,2.2,Diesel,yes,2011,Vito ãðóç.,rear
Chevrolet,4999,crossover,62,1.7,Petrol,yes,2006,Niva,full
Toyota,16500,crossover,328,4.2,Diesel,yes,1993,Land Cruiser 80,full
Opel,3500,sedan,398,1.8,Gas,yes,1995,Vectra A,front
Seat,7900,vagon,231,1.6,Petrol,yes,2005,Toledo,
Daewoo,2650,sedan,175,1.5,Gas,yes,2007,Nexia,front
Suzuki,12000,crossover,103,2,Gas,yes,2007,Grand Vitara,full
BMW,32000,crossover,138,3,Petrol,yes,2009,X6,full
Hyundai,10300,crossover,184,2,Gas,yes,2007,Tucson,full
Skoda,6999,hatch,60,1.2,Petrol,yes,2011,Fabia,front
Hyundai,7000,sedan,113,1.5,Diesel,yes,2008,Accent,front
Mazda,12500,crossover,95,2.3,Gas,yes,2007,CX-7,full
Mercedes-Benz,8700,other,280,NA,Diesel,yes,2001,Vito ïàññ.,front
Hyundai,5100,hatch,110,1.4,Other,yes,2005,Getz,front
Opel,2800,sedan,319,2,Petrol,yes,1989,Vectra A,front
Toyota,10500,crossover,200,4.5,Gas,yes,1996,Land Cruiser 80,full
Chrysler,12900,hatch,98,2.4,Gas,yes,2009,PT Cruiser,front
Volkswagen,2750,vagon,1,1.9,Diesel,no,2001,Passat B5,front
Hyundai,5400,hatch,133,1.4,Petrol,yes,2004,Getz,front
Infiniti,15900,crossover,110,3.5,Gas,yes,2004,FX 35,full
Mitsubishi,6990,crossover,225,2.5,Petrol,yes,1997,Pajero,full
Audi,38500,vagon,75,2,Diesel,yes,2013,Q3,full
VAZ,4800,sedan,52,1.6,Petrol,yes,2008,2170,front
Subaru,6500,sedan,140,1.6,Gas,yes,2003,Impreza,full
Audi,10500,vagon,198,4.2,Gas,yes,2005,A6 Allroad,full
Volkswagen,4300,hatch,217,1.6,Gas,yes,1997,Golf III,front
VAZ,0,sedan,198,1.5,Gas,yes,1999,21099,front
Honda,15400,crossover,137,2.4,Gas,yes,2008,CR-V,full
Nissan,9200,van,90,1.6,Gas,yes,2008,Note,front
Mercedes-Benz,121500,sedan,22,3,Diesel,yes,2014,S 350,full
Toyota,12800,sedan,203,NA,Petrol,yes,2005,Camry,front
Mitsubishi,16000,vagon,174,3.2,Diesel,yes,2006,Pajero Wagon,full
Skoda,10800,sedan,139,1.8,Petrol,yes,2008,Superb,front
Mercedes-Benz,0,van,173,2.2,Diesel,yes,2011,Vito ãðóç.,rear
Skoda,7500,hatch,205,1.8,Gas,yes,2007,Octavia Tour,front
Volkswagen,34500,van,167,2,Diesel,yes,2013,Multivan,front
BMW,8100,crossover,175,3,Gas,no,2005,X5,full
BMW,14000,crossover,240,4.4,Gas,yes,2002,X5,full
Fiat,8000,hatch,125,1.2,Petrol,yes,2010,500,front
Mazda,6500,other,100,1.3,Petrol,yes,2005,RX-8,rear
Chery,6000,hatch,85,1.6,Petrol,yes,2010,M11,front
Mercedes-Benz,11299,van,1,2.2,Other,yes,2006,Vito ïàññ.,rear
Mitsubishi,5999,van,258,NA,Diesel,yes,1999,L 400 ïàññ.,rear
Citroen,5400,sedan,200,2,Petrol,yes,2002,C5,front
Volkswagen,13300.95,sedan,0,1.6,Petrol,yes,2016,Polo,front
Volkswagen,17191.2,sedan,0,1.6,Petrol,yes,2016,Jetta,front
Volkswagen,13893.75,sedan,0,1.6,Petrol,yes,2016,Polo,front
Daewoo,4600,hatch,46,0.8,Petrol,yes,2014,Matiz,front
Volkswagen,1950,hatch,94,1.1,Petrol,yes,1982,Golf II,front
Volkswagen,17300,crossover,148,3,Diesel,yes,2007,Touareg,full
Volkswagen,3000,vagon,250,1.9,Diesel,yes,1992,Passat B3,front
BMW,18000,sedan,180,2,Other,no,2011,520,rear
Daewoo,2199,sedan,230,10,Gas,yes,1997,Nexia,front
Skoda,5500,sedan,215,8,Petrol,yes,2002,Octavia,front
VAZ,6100,sedan,57,1.6,Petrol,yes,2013,2170,
Renault,9500,van,189,2,Diesel,yes,2010,Trafic ãðóç.,front
Volkswagen,6500,sedan,320,1.9,Diesel,yes,2001,Passat B5,front
VAZ,3900,sedan,140,1.6,Gas,yes,2010,2115,front
Mitsubishi,9200,sedan,163,2,Petrol,yes,2008,Lancer X,front
Kia,2500,sedan,180,1.5,Gas,yes,1994,Sephia,
VAZ,3900,hatch,125,1.6,Gas,yes,2007,1119,front
BMW,9500,sedan,315,2.5,Diesel,yes,2001,525,rear
Ford,13500,sedan,98,2.3,Gas,yes,2010,Mondeo,front
Volkswagen,9700,sedan,201,2,Petrol,yes,2007,Passat B6,front
BMW,8200,sedan,238,3,Diesel,no,2004,730,rear
BMW,71500,crossover,19,2.5,Diesel,yes,2015,X5,full
Mazda,8900,sedan,138,1.6,Gas,yes,2007,3,front
Nissan,8500,sedan,195,1.6,Petrol,yes,2006,Primera,front
BMW,8999,other,160,1.8,Petrol,yes,1997,318,rear
Peugeot,11596.65,sedan,0,1.2,Petrol,yes,2016,301,front
Opel,3500,hatch,22,2.2,Diesel,no,2003,Vectra C,front
Land Rover,46000,crossover,75,5,Petrol,yes,2012,Range Rover,full
Mercedes-Benz,18500,crossover,1,3.5,Gas,yes,2006,ML 350,full
Audi,2400,sedan,305,2.3,Gas,yes,1989,100,front
Volkswagen,6400,van,305,NA,Diesel,yes,2004,Caddy ïàññ.,front
Kia,10650,van,180,2.9,Diesel,yes,2008,Carnival,front
Mercedes-Benz,9200,van,266,2.2,Diesel,yes,2008,Vito ãðóç.,rear
ZAZ,950,sedan,35,1.1,Petrol,yes,1995,1102 Òàâðèÿ,front
Acura,12900,sedan,126,3.5,Gas,yes,2006,RL,full
Mazda,2950,sedan,297,1.5,Petrol,yes,1996,323,front
Mercedes-Benz,12000,sedan,298,5,Petrol,yes,2004,S 500,full
GAZ,1650,sedan,98,2.5,Gas,yes,1993,31029,
Mitsubishi,6300,crossover,235,3.2,Diesel,no,2001,Pajero,full
ZAZ,4000,sedan,75,1.3,Gas,yes,2011,Sens,front
Skoda,12899,vagon,214,1.6,Diesel,yes,2010,Octavia A5,front
Opel,9950,van,161,2,Diesel,yes,2013,Vivaro ãðóç.,front
Mitsubishi,17000,crossover,89,3.8,Petrol,yes,2008,Pajero Wagon,full
Mercedes-Benz,9000,crossover,220,3.2,Gas,yes,1999,ML 320,full
Mercedes-Benz,6000,van,200,2.2,Diesel,yes,2000,Vito ïàññ.,front
Lexus,47500,crossover,4,2.7,Petrol,yes,2015,RX 270,front
VAZ,2700,crossover,1,1.7,Petrol,yes,1995,2121,full
Ford,12226.5,vagon,91,1.6,Petrol,yes,2012,C-Max,front
Mercedes-Benz,3e+05,other,37,5,Petrol,yes,2012,G 500,full
Chevrolet,10140.585,sedan,136,1.8,Petrol,yes,2013,Cruze,front
Toyota,12500,hatch,75,1.4,Diesel,yes,2012,Yaris,front
VAZ,3100,hatch,160,1.6,Petrol,yes,2007,2112,front
BMW,4900,sedan,295,2,Petrol,yes,1994,520,rear
Mitsubishi,24500,crossover,11,2.5,Diesel,yes,2012,Pajero Sport,full
Lexus,75000,sedan,78,4.6,Petrol,yes,2013,LS 460,full
Lincoln,12500,crossover,270,5.4,Gas,yes,1998,Navigator,full
Volkswagen,24800,sedan,2,1.6,Diesel,yes,2016,Jetta,front
Daewoo,4700,other,78,1.5,Petrol,yes,2011,Lanos,front
Mercedes-Benz,138000,crossover,0,3,Diesel,yes,2016,G 350,full
Volkswagen,10500,sedan,210,5,Diesel,yes,2004,Phaeton,full
Hyundai,9900,vagon,159,1.6,Other,yes,2011,i30,front
Mercedes-Benz,107000,van,0,2.2,Diesel,yes,2016,V 250,full
VAZ,2900,crossover,115,1.7,Petrol,yes,1995,2121,full
Mercedes-Benz,6900,van,200,2.3,Diesel,yes,1999,Vito ïàññ.,front
Renault,14999,van,54,66,Other,yes,2012,Kangoo ïàññ.,front
Mitsubishi,18000,crossover,112,3,Gas,yes,2008,Pajero Wagon,full
Honda,17100,sedan,90,2.4,Petrol,yes,2010,Accord,front
Toyota,14699,sedan,155,NA,Petrol,yes,2006,Camry,front
Nissan,11000,hatch,8,1.4,Petrol,yes,2013,Note,front
Renault,0,sedan,100,1.4,Petrol,yes,2009,Symbol,front
Opel,1400,other,2,1.3,Petrol,yes,1986,Kadett,front
Audi,12900,vagon,255,2.5,Diesel,yes,2005,A6 Allroad,full
Skoda,8800,sedan,125,2,Petrol,yes,2008,Octavia A5,front
BMW,28000,crossover,116,NA,Petrol,yes,2008,X5,full
Volkswagen,12300,other,248,1.9,Diesel,yes,2010,T5 (Transporter) ïàññ.,front
Lexus,45000,crossover,125,3.5,Petrol,yes,2013,RX 350,full
Mercedes-Benz,9150,sedan,273,2.7,Diesel,yes,2000,E-Class,rear
Audi,6200,vagon,316,2.6,Gas,yes,1997,A6,full
VAZ,4600,vagon,111,1.6,Gas,yes,2012,2171,front
Peugeot,7350,sedan,205,2.2,Gas,yes,2004,407,front
Renault,2950,vagon,280,19,Diesel,yes,2000,Kangoo ãðóç.,front
Audi,3250,sedan,285,NA,Gas,no,1996,A8,full
Volkswagen,13900,vagon,122,1.4,Gas,yes,2013,Touran,front
Ford,8900,vagon,260,1.8,Diesel,yes,2008,Focus,front
VAZ,3900,hatch,97,1.6,Petrol,yes,2008,2112,front
