car,price,body,mileage,engV,engType,registration,year,model,drive
Skoda,17200,sedan,102,1.8,Petrol,yes,2013,Superb,front
Nissan,12000,hatch,14,1.2,Petrol,yes,2014,Micra,front
BMW,24999,vagon,24,2,Petrol,yes,2012,X1,rear
Volkswagen,17900,crossover,70,1.4,Petrol,yes,2012,Tiguan,front
GAZ,2200,other,32,2.3,Gas,yes,2002,3221 GAZåëü,rear
Toyota,15500,sedan,129,3.5,Other,yes,2008,Camry,front
Kia,22500,crossover,70,2,Diesel,yes,2013,Sportage,full
Suzuki,11000,crossover,136,2,Petrol,yes,2007,Grand Vitara,full
Opel,11500,sedan,125,2.8,Petrol,yes,2008,Vectra C,front
ZAZ,6650,hatch,44,1.5,Petrol,yes,2013,Vida,front
Ford,8600,hatch,36,1,Petrol,yes,2013,Fiesta,front
Skoda,14000,sedan,70,2,Petrol,yes,2008,Octavia A5,front
BMW,5000,sedan,400,2,Petrol,yes,1991,520,rear
Renault,8500,sedan,57,1.2,Gas,yes,2013,Logan,front
Audi,9800,hatch,165,1.6,Gas,yes,2006,A3,front
Toyota,17200,crossover,149,4.7,Petrol,yes,2008,Land Cruiser 200,full
Mitsubishi,2500,crossover,1,2.5,Diesel,yes,2007,L 200,full
Kia,17777,crossover,1,2.4,Petrol,yes,2010,Sorento,full
Infiniti,27500,crossover,98,3.5,Petrol,yes,2008,FX 35,full
Volkswagen,12900,sedan,157,1.8,Gas,yes,2008,Passat B6,front
Volkswagen,12700,van,164,1.6,Diesel,yes,2012,Touran,front
Chery,2499,sedan,170,1.6,Petrol,yes,2008,Amulet,front
Volkswagen,3300,sedan,200,1.8,Petrol,yes,1989,Passat B3,front
Chevrolet,3400,sedan,150,1.5,Petrol,yes,2004,Aveo,front
VAZ,2850,sedan,150,1.6,Petrol,yes,2008,21099,front
Nissan,14999,crossover,70,2,Petrol,yes,2010,Qashqai,front
Renault,5950,sedan,277,1.5,Diesel,yes,2005,Megane,front
BMW,0,crossover,6,4.4,Petrol,yes,2016,X5 M,full
Hyundai,10900,crossover,97,2,Diesel,yes,2008,Tucson,full
Lexus,48000,other,50,5.7,Petrol,yes,2009,LX 570,full
Toyota,14900,hatch,100,1.8,Other,yes,2010,Prius,front
Toyota,6900,hatch,109,1.3,Gas,yes,2007,Yaris,front
Volkswagen,24000,sedan,105,2,Diesel,yes,2012,Passat CC,front
UAZ,1000,crossover,3,2.4,Petrol,yes,1986,469Á,full
Bogdan,4900,sedan,410,1.6,Gas,yes,2015,2110,front
Mitsubishi,8400,sedan,147,2,Petrol,yes,2007,Lancer,front
Peugeot,13700,hatch,54,1.6,Petrol,yes,2013,208,front
Nissan,12500,crossover,89,1.6,Petrol,yes,2011,Juke,front
Toyota,9950,sedan,142,1.8,Petrol,yes,2008,Avensis,front
Audi,33900,other,14,1.8,Petrol,yes,2014,TT,front
Mitsubishi,6500,sedan,133,1.6,Petrol,yes,2007,Lancer,front
Mercedes-Benz,6800,van,250,1.7,Diesel,yes,2003,Vaneo,front
Mercedes-Benz,5400,other,300,3.2,Gas,yes,1997,E-Class,rear
Hyundai,27800,crossover,93,3,Diesel,yes,2012,ix55 (Veracruz),full
Mazda,26800,sedan,31,NA,Petrol,yes,2015,6,front
VAZ,2150,hatch,180,1.5,Gas,yes,1996,2109,front
Porsche,24900,crossover,88,4.8,Petrol,yes,2008,Cayenne,full
ZAZ,5500,sedan,60,1.5,Petrol,yes,2013,Vida,front
GAZ,1800,sedan,100,2.3,Gas,yes,2000,3110,rear
Nissan,9960,van,90,1.5,Diesel,yes,2013,NV,front
Fiat,9200,vagon,67,1.4,Petrol,yes,2013,Doblo ïàññ.,front
Ford,19700,sedan,57,2,Petrol,yes,2012,Mondeo,front
VAZ,1350,sedan,233,1.3,Petrol,yes,1984,2105,rear
Nissan,10900,sedan,120,2.3,Petrol,yes,2006,Teana,front
Volkswagen,8300,hatch,147,1.6,Gas,yes,2006,Golf Plus,front
Renault,5000,sedan,200,1.4,Petrol,yes,2007,Clio,front
Audi,14200,sedan,176,3,Diesel,yes,2005,A6,full
Daewoo,4600,sedan,35,1.3,Petrol,yes,2013,Sens,front
Audi,3500,sedan,1,2,Other,yes,1988,90,front
Mazda,7500,sedan,169,2,Petrol,yes,2005,3,front
Lexus,22499,crossover,165,3.5,Gas,yes,2008,RX 350,full
Mazda,7500,sedan,170,2,Petrol,yes,2005,3,
VAZ,2600,vagon,37,1.5,Petrol,yes,2006,2104,rear
Toyota,8700,hatch,38,1.6,Petrol,yes,2008,Auris,front
Subaru,13500,crossover,203,2,Gas,yes,2008,Forester,full
Kia,3499,sedan,220,1.5,Petrol,yes,2001,Shuma,front
Alfa Romeo,2350,vagon,230,1.9,Diesel,no,2003,156,front
Hyundai,12900,sedan,143,2,Petrol,yes,2010,Sonata,
Kia,9447.75,crossover,53,1.6,Petrol,yes,2013,Sportage,front
Citroen,7700,hatch,39,1,Petrol,yes,2012,C1,front
Opel,4900,sedan,300,1.8,Gas,yes,1998,Vectra B,front
Peugeot,13700,hatch,2,1.2,Petrol,yes,2016,208,front
VAZ,3550,hatch,67,1.6,Petrol,yes,2008,1119,front
Fiat,6600,van,87,1.3,Diesel,yes,2012,Doblo ãðóç.,front
Hyundai,10100,sedan,150,2,Gas,yes,2008,Sonata,front
Kia,7500,sedan,165,2,Petrol,yes,2006,Magentis,front
Kia,9850,van,82,2,Petrol,yes,2009,Carens,
Mercedes-Benz,18500,sedan,143,5.5,Petrol,yes,2007,S 550,full
Audi,23500,crossover,245,3,Diesel,yes,2007,Q7,full
Mercedes-Benz,5800,van,282,2.2,Diesel,yes,2001,Vito ïàññ.,front
Audi,33000,crossover,60,2,Petrol,yes,2011,Q5,full
Volkswagen,24500,crossover,62,2,Diesel,yes,2012,Passat CC,front
Hyundai,20700,sedan,18,2.4,Gas,yes,2014,Sonata,front
Mercedes-Benz,39500,sedan,30,1.6,Petrol,yes,2014,C-Class,rear
Toyota,19900,sedan,28,1.6,Petrol,yes,2014,Corolla,front
BMW,36900,crossover,82,3,Petrol,yes,2010,X6,full
Ford,40000,crossover,12,3.5,Other,yes,2014,Explorer,full
Volkswagen,0,van,277,2.5,Diesel,yes,2001,T4 (Transporter) ïàññ.,front
VAZ,3600,sedan,189,1.6,Gas,yes,2007,2115,front
Porsche,45900,crossover,54,3.6,Petrol,yes,2011,Cayenne,full
Bentley,55000,sedan,100,6,Petrol,yes,2006,Continental,full
Audi,35900,sedan,105,2,Diesel,yes,2014,A6,front
Chevrolet,5300,sedan,196,1.5,Other,yes,2007,Aveo,front
BYD,6000,sedan,64,1.6,Gas,yes,2008,F3,front
Toyota,4650,hatch,170,1,Petrol,yes,2002,Yaris,front
Toyota,3800,sedan,220,1.6,Petrol,yes,1994,Carina,front
BYD,6700,hatch,20,1.5,Petrol,yes,2012,F3R,front
Mercedes-Benz,102800,van,0,2.2,Diesel,yes,2016,V 250,rear
Mitsubishi,7500,sedan,195,1.6,Gas,yes,2007,Lancer,front
Seat,14500,sedan,40,1.2,Petrol,yes,2014,Toledo,front
Hyundai,4300,van,250,2.5,Diesel,yes,2001,H1 ãðóç.,rear
Ford,11200,hatch,67,1,Petrol,yes,2013,B-Max,front
Daewoo,3500,sedan,180,1.5,Petrol,yes,2004,Lanos,front
Nissan,1600,vagon,330,1.5,Petrol,yes,1984,Sunny,front
Great Wall,7800,crossover,95,2.4,Gas,yes,2008,Hover,full
Ford,11950,van,60,1.5,Diesel,yes,2015,Courier,front
Renault,5899,vagon,189,NA,Diesel,no,2012,Megane,front
BMW,8400,sedan,220,2.2,Gas,yes,2001,5 Series,rear
Alfa Romeo,15300,sedan,62,2.2,Petrol,yes,2009,159,front
Kia,6300,hatch,89,1.1,Petrol,yes,2006,Picanto,front
Volkswagen,18500,sedan,217,3,Diesel,yes,2006,Phaeton,full
Chery,4700,sedan,106,2,Gas,yes,2008,Elara,
Mitsubishi,15700,other,68,1.8,Petrol,yes,2011,ASX,front
Dacia,5400,sedan,105,1.4,Petrol,yes,2009,Logan,front
Renault,11111,vagon,190,1.5,Diesel,yes,2011,Laguna,front
Smart,7000,other,42,1,Petrol,yes,2012,Fortwo,rear
VAZ,3899,sedan,67,1.6,Petrol,yes,2012,2115,front
Chery,3400,sedan,80,1.6,Gas,yes,2009,Amulet,front
Mercedes-Benz,8200,sedan,260,3,Diesel,yes,1997,S 300,rear
Hyundai,5900,hatch,106,1.6,Petrol,yes,2006,Getz,front
BMW,8850,vagon,280,2.5,Diesel,yes,2000,525,rear
Moskvich-AZLK,400,sedan,1,10,Petrol,yes,1985,2140,rear
BMW,13700,sedan,122,2,Petrol,yes,2007,318,rear
Nissan,19999,crossover,45,2,Petrol,yes,2013,X-Trail,full
Volkswagen,4100,sedan,88,1.8,Gas,yes,1993,Vento,front
BMW,4800,vagon,400,2.5,Diesel,yes,1994,525,rear
Peugeot,9600,van,66,1.6,Diesel,yes,2014,Partner ãðóç.,front
Chrysler,2700,van,111,2.5,Diesel,no,2003,Grand Voyager,front
VAZ,2000,sedan,42,1.5,Petrol,yes,1987,2108,
Daewoo,1300,sedan,172,1.5,Petrol,no,2000,Lanos,front
Chevrolet,23900,hatch,33,1.4,Other,yes,2014,Volt,front
Mercedes-Benz,5900,crossover,271,2.7,Diesel,no,2003,ML 270,full
Mercedes-Benz,4000,crossover,287,4,Diesel,no,2003,ML 400,full
Honda,8700,sedan,150,1.8,Petrol,yes,2008,Civic,front
Renault,7999,van,92,1.5,Diesel,yes,2013,Kangoo ãðóç.,front
Nissan,14700,hatch,21,NA,Other,yes,2013,Leaf,front
BMW,62900,crossover,1,2,Diesel,yes,2016,X5,full
Bentley,60000,sedan,54,6,Petrol,yes,2009,Continental,full
Land Rover,39900,crossover,124,5,Petrol,yes,2011,Range Rover,full
BMW,47000,other,5,2,Petrol,yes,2014,Z4,rear
Skoda,5800,sedan,250,1.6,Petrol,yes,2001,Octavia,front
Kia,7900,sedan,147,2,Gas,yes,2008,Cerato,front
Audi,18400,vagon,151,2,Diesel,yes,2010,A4,front
BMW,8100,vagon,180,2,Diesel,no,2011,118,front
