Date,Article_ID,Country_Code,Sold_Units
20181016,4139,SE,2
20181017,4139,SE,1
20181018,4139,SE,3
20181019,4139,SE,4
20181020,4139,SE,4
20181021,4139,SE,7
20181023,4139,SE,4
20181024,4139,SE,2
20181025,4139,SE,2
20181029,4139,SE,1
20181031,4139,SE,2
20181103,4139,SE,1
20181105,4139,SE,1
20181106,4139,SE,1
20181108,4139,SE,1
20181112,4139,SE,1
20181113,4139,SE,1
20181114,4139,SE,1
20181117,4139,SE,5
20181118,4139,SE,1
20181119,4139,SE,1
20181120,4139,SE,3
20181121,4139,SE,1
20181122,4139,SE,1
20181123,4139,SE,6
20181124,4139,SE,2
20181125,4139,SE,2
20181126,4139,SE,4
20181127,4139,SE,1
20181128,4139,SE,1
20181129,4139,SE,1
20181201,4139,SE,2
20181202,4139,SE,1
20181203,4139,SE,1
20181205,4139,SE,1
20181206,4139,SE,1
20181209,4139,SE,2
20181210,4139,SE,1
20181213,4139,SE,1
20181214,4139,SE,1
20181215,4139,SE,1
20181217,4139,SE,2
20181218,4139,SE,1
20181220,4139,SE,1
20181225,4139,SE,1
20181227,4139,SE,2
20190102,4139,SE,1
20190103,4139,SE,2
20190104,4139,SE,1
20190105,4139,SE,1
20190106,4139,SE,1
20190107,4139,SE,2
20190108,4139,SE,3
20190109,4139,SE,4
20190110,4139,SE,2
20190113,4139,SE,2
20190114,4139,SE,2
20190115,4139,SE,1
20190116,4139,SE,1
20190118,4139,SE,1
20190119,4139,SE,2
20190120,4139,SE,1
20190121,4139,SE,1
20190122,4139,SE,1
20190123,4139,SE,3
20190124,4139,SE,2
20190125,4139,SE,2
20190126,4139,SE,4
20190127,4139,SE,1
20190128,4139,SE,3
20190129,4139,SE,3
20190130,4139,SE,1
20190131,4139,SE,2
20190201,4139,SE,1
20190203,4139,SE,2
20190205,4139,SE,2
20190206,4139,SE,3
20190207,4139,SE,1
20190208,4139,SE,4
20190210,4139,SE,3
20190211,4139,SE,2
20190212,4139,SE,2
20170104,5972,SE,1
20170105,5972,SE,1
20170106,5972,SE,1
20170108,5972,SE,2
20170109,5972,SE,1
20170111,5972,SE,1
20170120,5972,SE,2
20170121,5972,SE,1
20170122,5972,SE,1
20170125,5972,SE,1
20170127,5972,SE,2
20170128,5972,SE,1
20170129,5972,SE,1
20170131,5972,SE,1
20170204,5972,SE,1
20170206,5972,SE,1
20170210,5972,SE,1
20170213,5972,SE,1
20170301,5972,SE,1
20170309,5972,SE,1
20170316,5972,SE,1
20170318,5972,SE,1
20170319,5972,SE,1
20170322,5972,SE,1
20170409,5972,SE,1
20170420,5972,SE,1
20170421,5972,SE,1
20170517,5972,SE,1
20170520,5972,SE,1
20170525,5972,SE,2
20170526,5972,SE,1
20170530,5972,SE,4
20170531,5972,SE,2
20170601,5972,SE,1
20170603,5972,SE,1
20170604,5972,SE,1
20170605,5972,SE,2
20170606,5972,SE,3
20170613,5972,SE,4
20170616,5972,SE,1
20170618,5972,SE,1
20170619,5972,SE,4
20170620,5972,SE,1
20170624,5972,SE,1
20170625,5972,SE,1
20170707,5972,SE,1
20170710,5972,SE,1
20170712,5972,SE,1
20170720,5972,SE,1
20170723,5972,SE,1
20170725,5972,SE,1
20170730,5972,SE,1
20170804,5972,SE,1
20170805,5972,SE,1
20170809,5972,SE,1
20170811,5972,SE,2
20170814,5972,SE,2
20170820,5972,SE,1
20170823,5972,SE,1
20170826,5972,SE,1
20170830,5972,SE,1
20170905,5972,SE,2
20170909,5972,SE,1
20170911,5972,SE,2
20170923,5972,SE,2
20170930,5972,SE,1
20171001,5972,SE,1
20171002,5972,SE,1
20171009,5972,SE,1
20171011,5972,SE,1
20171019,5972,SE,1
20171020,5972,SE,2
20171026,5972,SE,1
20171028,5972,SE,2
20171031,5972,SE,2
20171110,5972,SE,1
20171111,5972,SE,1
20171122,5972,SE,1
20171127,5972,SE,1
20171128,5972,SE,1
20171129,5972,SE,1
20171204,5972,SE,1
20171219,5972,SE,2
20171226,5972,SE,1
20180102,5972,SE,2
20180104,5972,SE,1
20180115,5972,SE,1
20180124,5972,SE,1
20180128,5972,SE,1
20180129,5972,SE,1
20180211,5972,SE,1
20180216,5972,SE,1
20180219,5972,SE,1
20180222,5972,SE,1
20180223,5972,SE,1
20180303,5972,SE,1
20180306,5972,SE,1
20180309,5972,SE,1
20180313,5972,SE,1
20180315,5972,SE,1
20180317,5972,SE,1
20180318,5972,SE,1
20180319,5972,SE,1
20180322,5972,SE,1
20180323,5972,SE,1
20180325,5972,SE,1
20180327,5972,SE,2
20180328,5972,SE,1
20180329,5972,SE,1
20180402,5972,SE,1
20180404,5972,SE,2
20180406,5972,SE,1
20180407,5972,SE,1
20180408,5972,SE,2
20180409,5972,SE,1
20180411,5972,SE,1
20180413,5972,SE,1
20180414,5972,SE,1
20180415,5972,SE,2
20180416,5972,SE,1
20180417,5972,SE,1
20180418,5972,SE,2
20180420,5972,SE,1
20180421,5972,SE,2
20180422,5972,SE,1
20180427,5972,SE,1
20180429,5972,SE,1
20180430,5972,SE,1
20180502,5972,SE,2
20180503,5972,SE,2
20180505,5972,SE,1
20180506,5972,SE,2
20180507,5972,SE,1
20180508,5972,SE,2
20180510,5972,SE,1
20180511,5972,SE,3
20180512,5972,SE,1
20180513,5972,SE,5
20180514,5972,SE,2
20180515,5972,SE,2
20180516,5972,SE,2
20180517,5972,SE,2
20180518,5972,SE,3
20180519,5972,SE,5
20180520,5972,SE,2
20180521,5972,SE,2
20180522,5972,SE,3
20180523,5972,SE,2
20180524,5972,SE,3
20180525,5972,SE,3
20180527,5972,SE,4
20180528,5972,SE,2
20180529,5972,SE,2
20180530,5972,SE,3
20180531,5972,SE,4
20180601,5972,SE,1
20180603,5972,SE,2
20180605,5972,SE,4
20180607,5972,SE,1
20180608,5972,SE,1
20180610,5972,SE,4
20180612,5972,SE,1
20180613,5972,SE,2
20180615,5972,SE,1
20180616,5972,SE,1
20180617,5972,SE,3
20180618,5972,SE,2
20180624,5972,SE,1
20180626,5972,SE,3
20180627,5972,SE,3
20180629,5972,SE,1
20180630,5972,SE,2
20180701,5972,SE,2
20180704,5972,SE,1
20180706,5972,SE,1
20180710,5972,SE,2
20180713,5972,SE,3
20180717,5972,SE,1
20180718,5972,SE,1
20180720,5972,SE,2
20180721,5972,SE,1
20180724,5972,SE,1
20180726,5972,SE,1
20180728,5972,SE,1
20180729,5972,SE,1
20180730,5972,SE,2
20180801,5972,SE,1
20180805,5972,SE,2
20180806,5972,SE,4
20180809,5972,SE,3
20180810,5972,SE,2
20180812,5972,SE,1
20180813,5972,SE,1
20180815,5972,SE,3
20180820,5972,SE,1
20180823,5972,SE,1
20180824,5972,SE,1
20180825,5972,SE,1
20180827,5972,SE,1
20180829,5972,SE,2
20180830,5972,SE,1
20180906,5972,SE,1
20180907,5972,SE,1
20180918,5972,SE,1
20180919,5972,SE,1
20180920,5972,SE,1
20180921,5972,SE,1
20180923,5972,SE,2
20180924,5972,SE,1
20180925,5972,SE,1
20180928,5972,SE,1
20180930,5972,SE,1
20181001,5972,SE,1
20181003,5972,SE,1
20181010,5972,SE,1
20181012,5972,SE,1
20181019,5972,SE,1
20181020,5972,SE,2
20181023,5972,SE,2
20181028,5972,SE,1
20181029,5972,SE,1
20181030,5972,SE,1
20181102,5972,SE,2
20181107,5972,SE,1
20181122,5972,SE,1
20181126,5972,SE,1
20181130,5972,SE,1
20181211,5972,SE,1
20190101,5972,SE,3
20190120,5972,SE,1
20190123,5972,SE,1
20190130,5972,SE,1
