car,price,body,mileage,engV,engType,registration,year,model,drive
Volkswagen,2500,hatch,297,1.6,Petrol,yes,1995,Golf III,front
Volkswagen,5150,van,240,2,Diesel,yes,2005,Caddy ãðóç.,front
Mercedes-Benz,2700,sedan,121,2.5,Diesel,yes,1986,E-Class,rear
Moskvich-Izh,1519.05,other,116,1.6,Petrol,yes,2004,2717,rear
Peugeot,8500,hatch,14,1,Petrol,yes,2013,107,front
Nissan,10500,crossover,200,2.2,Diesel,yes,2006,X-Trail,full
Mazda,20400,hatch,4,1.5,Petrol,yes,2015,3,front
Honda,19500,sedan,70,2.4,Petrol,yes,2012,Accord,front
Renault,4100,other,270,1.2,Gas,yes,1999,Kangoo ïàññ.,front
Audi,3400,vagon,261,2.5,Diesel,no,2004,A6,front
Peugeot,5300,vagon,215,1.6,Petrol,yes,2005,307,front
Mercedes-Benz,17900,sedan,190,3,Diesel,yes,2007,E-Class,rear
Audi,3900,sedan,247,2.5,Diesel,no,2003,A6,front
Mercedes-Benz,38800,hatch,8,NA,Other,yes,2015,B-Class Electric Drive,front
Hyundai,5500,hatch,87,1.4,Petrol,yes,2007,Getz,front
Land Rover,33500,crossover,54,2,Petrol,yes,2013,Range Rover Evoque,full
Nissan,2199,crossover,178,2.7,Diesel,no,1998,Terrano,full
Volkswagen,9500,sedan,95,2,Petrol,yes,2007,Passat B6,front
Ford,19300,crossover,61,2,Diesel,yes,2012,Kuga,full
BMW,11600,sedan,142,2,Petrol,yes,2005,320,rear
Land Rover,52999,crossover,95,4.4,Diesel,yes,2012,Range Rover,full
Nissan,22500,crossover,29,1.6,Petrol,yes,2014,Juke,full
Mercedes-Benz,17499,sedan,145,1.8,Petrol,yes,2008,C-Class,rear
Mercedes-Benz,9900,sedan,320,2.7,Diesel,yes,2001,E-Class,rear
Mercedes-Benz,21300,crossover,190,6.3,Petrol,yes,2007,ML 63 AMG,full
Renault,6450,van,148,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Fiat,6200,van,218,1.6,Diesel,yes,2007,Scudo ãðóç.,front
Mercedes-Benz,125000,sedan,17,3,Diesel,yes,2015,S 350,full
Kia,9500,sedan,113,1.6,Petrol,yes,2010,Koup,front
Volkswagen,1500,other,260,1.8,Gas,no,1994,Golf III,front
Volkswagen,4000,hatch,266,1.9,Diesel,yes,1993,Golf III,front
BMW,9000,sedan,225,2.2,Gas,yes,2002,320,rear
BMW,2650,vagon,335,2,Petrol,no,2000,320,rear
GAZ,500,sedan,239,2,Other,yes,1961,21,rear
Mercedes-Benz,2550,vagon,367,3.2,Diesel,no,2000,E-Class,rear
Kia,9400,sedan,67,1.4,Petrol,yes,2012,Rio,front
Mercedes-Benz,3700,sedan,270,3.5,Petrol,no,2004,S 350,rear
Ford,5900,van,230,1.8,Diesel,yes,2004,Tourneo Connect ïàññ.,front
Mercedes-Benz,15300,other,168,3.2,Petrol,yes,2003,CLK 320,rear
Skoda,12200,sedan,104,1.4,Petrol,yes,2011,Octavia A5,front
Toyota,8500,hatch,93,1.6,Petrol,yes,2007,Auris,front
Peugeot,7100,van,205,1.6,Diesel,yes,2012,Partner ãðóç.,front
Moskvich-AZLK,1100,hatch,30,1.6,Gas,yes,1990,2141,
Toyota,46500,other,4,3,Diesel,yes,2016,Hilux,full
Chery,5999,sedan,130,1.6,Gas,yes,2007,Amulet,front
Volkswagen,0,other,28,2,Diesel,yes,2015,Amarok,full
Volkswagen,2900,sedan,2,1.8,Petrol,yes,1989,Passat B3,front
BMW,4600,sedan,340,2,Gas,yes,1995,520,rear
Hyundai,18999,crossover,48,2,Gas,yes,2011,IX35,full
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full
Land Rover,89900,crossover,20,3,Diesel,yes,2014,Range Rover Sport,full
Skoda,11900,sedan,161,1.8,Petrol,yes,2009,Superb,front
Fiat,15500,van,26,1.4,Petrol,yes,2014,500 L,front
MINI,8800,hatch,89,1.6,Petrol,yes,2002,Cooper,front
Mercedes-Benz,50900,crossover,85,3,Diesel,yes,2013,ML 350,full
Mercedes-Benz,8300,sedan,175,3.2,Diesel,no,2006,E-Class,rear
Audi,30900,vagon,118,2,Petrol,yes,2013,A4 Allroad,full
Mercedes-Benz,4050,sedan,200,NA,Diesel,yes,2001,S 320,
Honda,14650,sedan,166,3.5,Gas,yes,2007,Legend,full
Nissan,9000,sedan,120,3,Petrol,yes,2006,Maxima,front
Toyota,9300,sedan,185,1.6,Gas,yes,2008,Corolla,front
Toyota,26500,crossover,102,2.5,Diesel,yes,2013,Hilux,full
Fiat,1350,hatch,170,1,Petrol,yes,1994,Cinquecento,front
Peugeot,13800,crossover,97,1.6,Diesel,yes,2011,3008,front
VAZ,1600,hatch,25,1.3,Petrol,yes,1989,2108,front
Mitsubishi,9000,sedan,110,2,Petrol,yes,2008,Lancer X,front
Mitsubishi,26850,crossover,84,3.2,Diesel,yes,2012,Pajero Wagon,full
Skoda,4900,sedan,240,1.8,Petrol,yes,1998,Octavia,front
Moskvich-AZLK,280,sedan,99,1.5,Petrol,yes,1976,2140,rear
Volkswagen,2400,sedan,268,99.99,Petrol,yes,1989,Passat B3,front
Land Rover,3900,crossover,290,2.5,Diesel,no,1998,Range Rover,full
Renault,6300,vagon,202,1.5,Diesel,yes,2005,Scenic,
Mercedes-Benz,4500,other,356,2.3,Petrol,yes,1991,230,rear
Seat,2750,sedan,93,2,Petrol,yes,2008,Cordoba,front
Volkswagen,13000,van,178,2.5,Diesel,yes,2007,T6 (Transporter) ïàññ.,front
Mercedes-Benz,2650,sedan,30,2.3,Gas,yes,1985,230,rear
Geely,5800,sedan,42,1.5,Gas,yes,2012,MK,front
Land Rover,3300,crossover,350,2.5,Diesel,no,1995,Discovery,full
Mazda,4700,sedan,250,2.5,Petrol,yes,1996,Xedos 9,front
