car,price,body,mileage,engV,engType,registration,year,model,drive
Opel,3000,sedan,276,17,Diesel,yes,1993,Vectra A,
Honda,5500,crossover,240,2,Petrol,yes,1999,CR-V,full
VAZ,4999,vagon,58,1.6,Petrol,yes,2011,2111,front
Volkswagen,5200,van,442,2.4,Diesel,yes,1992,T4 (Transporter) ïàññ.,front
Opel,11700,van,137,2,Diesel,yes,2012,Vivaro ãðóç.,
Honda,8300,sedan,160,2,Petrol,yes,2004,Accord,front
Volkswagen,12700,van,213,2,Diesel,yes,2012,T5 (Transporter) ãðóç,front
SsangYong,12700,crossover,110,2.7,Diesel,yes,2008,Rexton II,full
Peugeot,11700,vagon,100,1.6,Diesel,yes,2013,308,front
Honda,19600,sedan,69,2.4,Petrol,yes,2012,Accord,front
Toyota,24500,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100,full
Skoda,22800,sedan,72,1.8,Petrol,yes,2013,Superb,front
Daewoo,4100,other,9,8,Petrol,yes,2008,Matiz,front
Mercedes-Benz,39900,crossover,126,5.5,Petrol,yes,2010,GL 500,full
Chevrolet,59999,other,1,2,Petrol,yes,2016,Camaro,rear
Suzuki,7300,hatch,84,1.3,Petrol,yes,2008,Swift,front
Honda,8800,sedan,240,2,Petrol,yes,2005,Accord,front
Volkswagen,21000,hatch,22,1.2,Other,yes,2014,Golf VII,front
Opel,1650,vagon,296,2,Diesel,no,2001,Astra G,front
Chevrolet,6999,sedan,132,2,Gas,yes,2007,Epica,front
Toyota,25800,sedan,58,2.5,Petrol,yes,2015,Camry,
Suzuki,9200,crossover,128,2,Petrol,yes,2006,Grand Vitara,full
Peugeot,4150,other,130,1.9,Diesel,yes,2006,Partner ïàññ.,front
Mitsubishi,9800,crossover,92,2,Petrol,yes,2008,Outlander,full
Toyota,23400,sedan,69,2.5,Gas,yes,2014,Camry,front
Audi,18500,sedan,137,NA,Petrol,yes,2009,A6,front
Toyota,45500,crossover,65,4,Gas,yes,2010,FJ Cruiser,full
Kia,26900,crossover,76,2.2,Diesel,yes,2013,Sorento,full
Audi,4500,vagon,206,2.5,Diesel,no,2003,A6,full
Peugeot,17800,sedan,90,2,Diesel,yes,2013,508,front
Chevrolet,6300,sedan,120,1.6,Petrol,yes,2007,Lacetti,front
Toyota,28500,sedan,16,2.5,Petrol,yes,2015,Camry,front
Volkswagen,16800,vagon,149,1.4,Gas,yes,2013,Passat B7,front
Volkswagen,23999,sedan,0,1.6,Diesel,yes,2016,Jetta,front
Honda,19700,sedan,73,2.4,Gas,yes,2012,Accord,front
BMW,2999,sedan,210,2,Other,no,1999,320,rear
