car,price,body,mileage,engV,engType,registration,year,model,drive
Toyota,11300,sedan,260,3.5,Gas,yes,2007,Camry,rear
Nissan,7700,crossover,188,2,Gas,yes,2002,X-Trail,full
Mercedes-Benz,16500,other,260,2.2,Diesel,yes,2011,Sprinter 319 ãðóç.,rear
Hyundai,9200,other,190,2,Gas,yes,2007,Tucson,front
Audi,3150,vagon,320,2.5,Diesel,no,2002,A6,full
Mercedes-Benz,11700,crossover,284,4,Diesel,yes,2004,ML 400,full
ZAZ,1850,sedan,71,1.2,Petrol,yes,2002,1103 Ñëàâóòà,front
Infiniti,15500,crossover,180,3.5,Gas,yes,2005,FX 35,full
Skoda,8500,sedan,185,1.8,Gas,yes,2007,Superb,front
BMW,23900,crossover,60,2,Petrol,yes,2013,X1,rear
Hyundai,7499,crossover,100,NA,Gas,no,2011,IX35,full
Toyota,29900,crossover,117,3,Diesel,yes,2008,Land Cruiser Prado,full
Acura,15650,crossover,170,3.7,Petrol,yes,2008,MDX,full
Mitsubishi,6666,sedan,162,NA,Petrol,yes,2007,Lancer,front
Infiniti,33000,crossover,90,3.7,Petrol,yes,2011,FX 37,full
Lexus,11100,sedan,215,4.6,Other,no,2009,LS 460,rear
ZAZ,5700,sedan,8,1.5,Petrol,yes,2014,Forza,front
Land Rover,106000,crossover,9,5,Petrol,yes,2013,Range Rover,full
Seat,9000,hatch,62,1.4,Petrol,yes,2011,Ibiza,front
Suzuki,9700,crossover,137,2,Petrol,yes,2006,Grand Vitara,full
Fiat,6650,hatch,49,1.4,Petrol,yes,2007,Punto,front
Porsche,38500,crossover,106,3,Diesel,yes,2010,Cayenne,full
VAZ,800,sedan,156,NA,Petrol,yes,1985,2106,front
Lexus,153999,crossover,0,5.7,Petrol,yes,2016,LX 570,full
Land Rover,41000,crossover,80,5,Petrol,yes,2011,Range Rover Sport,full
Audi,29999,other,90,3,Petrol,yes,2011,A5,full
Opel,6999,sedan,158,2.2,Petrol,yes,2004,Vectra C,front
Geely,6300,hatch,17,1.5,Petrol,yes,2012,MK Cross,front
Opel,10900,van,186,2,Diesel,yes,2007,Vivaro ïàññ.,front
Honda,3300,sedan,329,1.4,Petrol,yes,1996,Civic,front
Toyota,43999,other,0,2.8,Diesel,yes,2016,Hilux,full
Hyundai,13499,sedan,31,1.6,Petrol,yes,2013,Elantra,front
Lexus,39900,crossover,69,4.6,Gas,yes,2010,GX,full
Toyota,42900,crossover,51,3,Diesel,yes,2013,Land Cruiser Prado,full
Audi,42900,crossover,140,3,Diesel,yes,2013,Q7,full
Mercedes-Benz,8900,other,213,5,Other,yes,1999,CL 500,rear
BMW,34900,crossover,110,4.4,Petrol,yes,2010,X6,full
Toyota,61990,crossover,68,4.5,Diesel,yes,2012,Land Cruiser 200,full
Infiniti,39800,crossover,50,3.7,Petrol,yes,2014,QX70,full
Toyota,20900,crossover,180,4.7,Gas,yes,2004,Land Cruiser 100,full
BMW,44000,crossover,80,3,Diesel,yes,2012,X5,full
Porsche,63500,crossover,56,3,Diesel,yes,2013,Cayenne,full
Daewoo,3700,sedan,149,1.5,Petrol,yes,2003,Lanos,front
BMW,60500,crossover,1,2,Diesel,yes,2016,X5,full
Renault,6555,vagon,180,1.5,Diesel,yes,2005,Megane,front
VAZ,2500,hatch,217,1.5,Petrol,yes,2002,21093,front
