car,price,body,mileage,engV,engType,registration,year,model,drive
Renault,7499,van,123,1.5,Diesel,yes,2009,Kangoo ïàññ.,front
Volkswagen,6500,vagon,101,2,Diesel,yes,2011,Passat B6,front
Honda,10999,sedan,130,1.8,Petrol,yes,2007,Civic,front
Subaru,13000,crossover,110,3,Petrol,yes,2006,Tribeca,full
Volkswagen,0,van,207,2,Diesel,yes,2012,T5 (Transporter) ãðóç,front
Hyundai,28888,crossover,20,2.2,Diesel,yes,2013,Santa FE,full
Volkswagen,0,van,239,2,Diesel,yes,2012,T5 (Transporter) ïàññ.,front
Mercedes-Benz,21000,crossover,135,3.5,Petrol,yes,2007,ML 350,full
Mercedes-Benz,39900,sedan,29,6.3,Petrol,yes,2007,S 63 AMG,rear
Mercedes-Benz,11000,sedan,319,2.2,Diesel,yes,2003,220,rear
Volkswagen,10600,van,153,1.6,Diesel,yes,2012,Caddy ãðóç.,
Mercedes-Benz,12700,van,160,3,Diesel,yes,2007,Vito ïàññ.,rear
Nissan,15861,hatch,29,NA,Other,yes,2014,Leaf,front
Renault,6400,van,136,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
Chevrolet,4450,crossover,164,1.7,Other,yes,2006,Niva,full
Skoda,3300,sedan,234,1.8,Petrol,no,2002,Superb,front
Renault,2700,other,160,2,Petrol,no,2001,Megane,front
Toyota,16000,crossover,250,4.7,Gas,yes,2001,Land Cruiser 100,full
Audi,0,crossover,1,3,Diesel,yes,2016,A6 Allroad,full
Opel,12800,van,190,1.7,Diesel,yes,2011,Zafira,front
Hyundai,27768.975,crossover,1,2.2,Diesel,yes,2015,Santa FE,front
Toyota,37500,crossover,115,5.7,Petrol,yes,2008,Land Cruiser 200,full
Nissan,21303.75,crossover,1,2,Petrol,yes,2015,Qashqai,front
BMW,39600,crossover,98,3,Petrol,yes,2011,X6,full
Ford,0,sedan,200,2.5,Diesel,yes,1996,Scorpio,rear
Nissan,14673,hatch,34,NA,Other,yes,2013,Leaf,front
Kia,19600,crossover,80,2,Gas,yes,2013,Sportage,full
Chevrolet,8900,sedan,58,2,Petrol,yes,2012,Epica,front
BMW,30500,sedan,630,NA,Petrol,yes,2010,523,rear
BMW,29500,sedan,850,NA,Petrol,yes,2011,523,rear
Nissan,14500,crossover,740,2,Petrol,yes,2008,X-Trail,full
VAZ,3350,sedan,154,1.6,Gas,yes,2008,21099,front
Hyundai,11999,sedan,162,2.2,Diesel,yes,2006,Santa FE,full
Chevrolet,4999,sedan,135,1.5,Gas,yes,2008,Aveo,front
Volkswagen,2450,sedan,200,1.3,Gas,yes,1991,Jetta,front
Toyota,11999,sedan,139,3.5,Petrol,yes,2008,Camry,front
Hyundai,9500,crossover,87,2,Gas,yes,2008,Tucson,
Mercedes-Benz,39900,sedan,84,5.5,Petrol,yes,2011,S 500,full
Nissan,14246,hatch,42,NA,Other,yes,2013,Leaf,front
