Date,Article_ID,Country_Code,Sold_Units
20170312,332,SE,2
20170314,332,SE,1
20170318,332,SE,1
20170319,332,SE,1
20170321,332,SE,1
20170322,332,SE,1
20170324,332,SE,2
20170325,332,SE,1
20170326,332,SE,2
20170327,332,SE,1
20170328,332,SE,1
20170329,332,SE,2
20170330,332,SE,1
20170331,332,SE,1
20170403,332,SE,1
20170405,332,SE,1
20170406,332,SE,1
20170413,332,SE,2
20170418,332,SE,1
20170419,332,SE,2
20170420,332,SE,1
20170421,332,SE,1
20170426,332,SE,2
20170429,332,SE,4
20170501,332,SE,2
20170503,332,SE,1
20170506,332,SE,1
20170507,332,SE,1
20170509,332,SE,1
20170511,332,SE,1
20170515,332,SE,1
20170516,332,SE,2
20170518,332,SE,2
20170519,332,SE,4
20170520,332,SE,1
20170521,332,SE,2
20170524,332,SE,2
20170525,332,SE,1
20170526,332,SE,1
20170527,332,SE,2
20170529,332,SE,1
20170531,332,SE,2
20170601,332,SE,1
20170604,332,SE,1
20170606,332,SE,1
20170607,332,SE,1
20170608,332,SE,2
20170610,332,SE,3
20170612,332,SE,1
20170613,332,SE,2
20170616,332,SE,1
20170618,332,SE,2
20170619,332,SE,1
20170621,332,SE,1
20170622,332,SE,1
20170625,332,SE,1
20170706,332,SE,1
20170712,332,SE,1
20170715,332,SE,2
20170721,332,SE,1
20170731,332,SE,1
20170813,332,SE,1
20170824,332,SE,1
20170830,332,SE,1
20170901,332,SE,2
20171017,332,SE,1
20171022,332,SE,1
20171106,332,SE,1
20171112,332,SE,1
20171114,332,SE,1
20171123,332,SE,1
20171125,332,SE,1
20171126,332,SE,1
20171204,332,SE,1
20171213,332,SE,2
20171215,332,SE,1
20171226,332,SE,1
20171228,332,SE,1
20171229,332,SE,1
20180123,332,SE,1
20180201,332,SE,1
20180206,332,SE,1
20180207,332,SE,1
20180209,332,SE,1
20180220,332,SE,1
20180221,332,SE,1
20180224,332,SE,1
20180226,332,SE,1
20180306,332,SE,2
20180312,332,SE,2
20180313,332,SE,1
20180314,332,SE,3
20180317,332,SE,3
20180320,332,SE,2
20180322,332,SE,2
20180323,332,SE,1
20180324,332,SE,3
20180326,332,SE,1
20180329,332,SE,1
20180330,332,SE,2
20180403,332,SE,1
20180404,332,SE,1
20180407,332,SE,2
20180408,332,SE,2
20180410,332,SE,1
20180411,332,SE,2
20180414,332,SE,1
20180416,332,SE,1
20180418,332,SE,1
20180419,332,SE,1
20180420,332,SE,2
20180424,332,SE,3
20180425,332,SE,1
20180428,332,SE,1
20180429,332,SE,1
20180503,332,SE,1
20180506,332,SE,1
20180509,332,SE,2
20180511,332,SE,2
20180514,332,SE,1
20180517,332,SE,1
20180518,332,SE,1
20180520,332,SE,1
20180521,332,SE,4
20180522,332,SE,2
20180523,332,SE,1
20180524,332,SE,1
20180525,332,SE,3
20180527,332,SE,1
20180528,332,SE,3
20180529,332,SE,3
20180530,332,SE,1
20180531,332,SE,2
20180601,332,SE,1
20180604,332,SE,1
20180605,332,SE,2
20180606,332,SE,3
